step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
1,99.62,-58.13,-1.0000,1.0000,-150.0,150.0,5.2
2,99.62,-58.13,-0.3348,0.1676,-50.2,25.1,5.2
3,100.51,-58.32,-0.5961,0.1131,-89.4,17.0,4.3
4,100.51,-58.32,-0.3594,0.1631,-53.9,24.5,4.3
5,99.62,-58.13,-0.0989,0.2180,-14.8,32.7,5.2
6,101.67,-59.15,-0.9363,-0.1319,-140.4,-19.8,3.3
7,103.12,-60.67,-0.8168,-0.3035,-122.5,-45.5,2.3
8,103.12,-60.67,-0.4308,0.1009,-64.6,15.1,2.3
9,104.62,-62.23,-0.8713,-0.3560,-130.7,-53.4,0.6
10,105.21,-63.61,-0.6462,-0.3451,-96.9,-51.8,0.0
11,106.80,-65.24,-0.9543,-0.4577,-143.1,-68.7,0.0
12,106.80,-65.24,-0.5315,-0.0210,-79.7,-3.2,0.0
13,106.15,-65.73,-0.3420,-0.1629,-51.3,-24.4,0.0
14,107.12,-65.96,-0.8009,-0.1029,-120.1,-15.4,0.0
15,107.12,-65.96,-0.5421,-0.0403,-81.3,-6.1,0.0
16,107.12,-65.96,-0.5428,-0.0404,-81.4,-6.1,0.0
17,106.15,-65.73,-0.2580,0.0284,-38.7,4.3,0.0
18,106.48,-66.45,-0.6140,-0.2460,-92.1,-36.9,0.0
19,105.51,-66.21,-0.2439,0.0155,-36.6,2.3,0.0
20,105.51,-66.21,-0.5023,-0.0473,-75.3,-7.1,0.0
21,105.51,-66.21,-0.5029,-0.0474,-75.4,-7.1,0.0
22,105.84,-66.94,-0.6000,-0.2602,-90.0,-39.0,0.0
23,104.88,-66.70,-0.2312,0.0023,-34.7,0.3,0.0
24,104.88,-66.70,-0.4879,-0.0607,-73.2,-9.1,0.0
25,104.88,-66.70,-0.4885,-0.0608,-73.3,-9.1,0.0
26,105.84,-66.94,-0.7707,-0.1300,-115.6,-19.5,0.0
27,103.93,-66.47,0.0448,0.0701,6.7,10.5,0.0
28,103.93,-66.47,-0.4649,-0.0548,-69.7,-8.2,0.0
29,104.88,-66.70,-0.7439,-0.1230,-111.6,-18.5,0.0
30,102.06,-66.02,0.3351,0.1404,50.3,21.1,0.0
31,102.99,-66.24,-0.6879,-0.1090,-103.2,-16.4,0.0
32,102.99,-66.24,-0.4404,-0.0489,-66.1,-7.3,0.0
33,99.64,-66.07,0.5413,0.0030,81.2,0.4,0.0
34,94.43,-64.81,1.0000,-0.3514,150.0,-52.7,0.0
35,89.54,-63.66,0.9837,-1.0000,147.6,-150.0,0.5
36,89.54,-63.66,-0.1084,-0.2288,-16.3,-34.3,0.5
37,83.68,-62.92,1.0000,-0.0117,150.0,-1.7,1.8
38,77.52,-62.14,1.0000,0.0196,150.0,2.9,3.5
39,71.60,-60.87,1.0000,0.1833,150.0,27.5,4.8
40,71.60,-60.87,0.3712,-0.1553,55.7,-23.3,4.8
41,67.98,-58.44,1.0000,0.5569,150.0,83.5,8.4
