step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,89.31,6.00,-0.8860,-1.0067,-132.9,-150.0,0.0
1,89.31,6.00,-0.7216,-0.9648,-108.2,-144.7,0.0
2,89.31,6.00,-0.9482,-0.1756,-142.2,-26.3,0.0
3,89.31,6.00,-1.0471,-0.0970,-150.0,-14.6,0.0
4,90.08,6.08,-0.9954,-0.8693,-149.3,-130.4,0.0
5,90.32,6.62,-0.7974,-0.2522,-119.6,-37.8,0.0
6,90.32,6.62,0.6628,-1.1282,99.4,-150.0,0.0
7,89.79,7.10,0.6021,-0.8295,90.3,-124.4,0.0
8,89.52,8.13,0.9478,-1.1193,142.2,-150.0,0.0
9,86.71,8.38,0.8264,-1.0108,124.0,-150.0,0.8
10,86.71,8.38,0.4370,-0.7908,65.5,-118.6,0.8
11,82.33,7.93,-0.9372,-0.6825,-140.6,-102.4,5.2
12,76.19,7.33,-0.9520,0.9811,-142.8,147.2,11.3
13,76.19,7.33,0.5882,-0.9352,88.2,-140.3,11.3
14,76.19,7.33,0.5445,-1.0002,81.7,-150.0,11.3
15,72.59,6.00,-0.5712,0.6232,-85.7,93.5,14.6
16,69.95,5.28,0.4789,-0.4085,71.8,-61.3,17.6
17,68.33,5.63,1.0056,-0.6444,150.0,-96.7,18.8
18,66.15,5.93,0.9914,1.0231,148.7,150.0,21.4
19,62.20,5.60,1.0201,0.7629,150.0,114.4,25.3
20,57.91,5.27,0.9320,1.0745,139.8,150.0,29.6
21,52.70,4.43,1.0233,1.0953,150.0,150.0,34.6
22,52.70,4.43,0.9966,1.1088,149.5,150.0,34.6
23,48.85,4.18,0.5250,0.9499,78.8,142.5,38.7
24,46.06,4.02,-0.8437,0.9424,-126.6,141.4,41.5
25,45.15,3.97,-1.0202,0.9192,-150.0,137.9,42.1
26,45.15,3.97,-0.8573,1.0800,-128.6,150.0,42.1
27,45.50,3.54,-0.8294,1.0609,-124.4,150.0,41.7
28,47.91,4.13,-1.0237,1.0870,-150.0,150.0,39.6
29,51.73,4.37,-1.2457,1.0074,-150.0,150.0,35.5
30,51.73,4.37,-0.8861,0.9505,-132.9,142.6,35.5
31,54.70,4.57,-0.9983,1.0320,-149.7,150.0,32.8
32,56.22,4.68,-0.9839,1.0802,-147.6,150.0,31.0
33,56.60,4.24,-1.0006,0.8897,-150.0,133.4,30.6
34,56.60,4.24,-0.9662,0.8025,-144.9,120.4,30.6
35,55.20,4.60,-1.0345,1.1440,-150.0,150.0,32.0
36,51.61,3.91,-0.9074,0.8853,-136.1,132.8,35.6
37,47.45,4.10,-1.1077,1.1053,-150.0,150.0,40.1
38,47.45,4.10,-1.1675,0.8571,-150.0,128.6,40.1
39,43.79,3.89,-0.9510,-0.4414,-142.7,-66.2,43.4
40,39.84,3.69,-0.9410,-0.6664,-141.2,-100.0,47.4
41,35.52,3.07,-1.1373,-0.9492,-150.0,-142.4,52.0
42,35.52,3.07,-1.0475,-0.9920,-150.0,-148.8,52.0
43,35.52,3.07,-1.1240,-0.9762,-150.0,-146.4,52.0
44,31.49,3.36,-1.0719,-0.9596,-150.0,-143.9,56.0
45,22.79,3.17,-1.0286,-0.8510,-150.0,-127.7,64.6
46,22.79,3.17,-1.0332,-0.9195,-150.0,-137.9,64.6
47,18.13,2.71,-0.9593,-1.1223,-143.9,-150.0,69.2
48,13.94,2.72,-1.1060,-0.8619,-150.0,-129.3,73.6
49,9.73,2.35,-0.9134,-0.9046,-137.0,-135.7,77.5
50,4.74,1.61,-0.6187,-0.9402,-92.8,-141.0,82.6
51,4.74,1.61,-0.7098,-0.8496,-106.5,-127.4,82.6
52,-0.72,1.79,-0.9053,-0.9151,-135.8,-137.3,88.2
53,-5.94,2.01,-0.8692,-0.1596,-130.4,-23.9,93.2
54,-5.94,2.01,-0.7852,0.2761,-117.8,41.4,93.2
55,-12.20,1.91,-0.9513,-0.0172,-142.7,-2.6,99.7
56,-18.42,2.29,-0.9605,0.0024,-144.1,0.4,105.7
