step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,91.35,8.86,-0.8198,-1.0278,-123.0,-150.0,0.0
1,91.35,8.86,-1.0079,-0.9853,-150.0,-147.8,0.0
2,91.35,8.86,-0.9570,-0.6980,-143.5,-104.7,0.0
3,91.35,8.86,0.4688,-0.9882,70.3,-148.2,0.0
4,92.15,8.95,-0.5326,0.9511,-79.9,142.7,0.0
5,92.15,8.95,1.1497,-0.7243,150.0,-108.7,0.0
6,92.15,8.95,0.6134,-0.9474,92.0,-142.1,0.0
7,90.82,9.34,0.2302,-0.9934,34.5,-149.0,0.0
8,90.30,9.83,0.0582,-1.0440,8.7,-150.0,0.0
9,90.30,9.83,0.5563,-1.0465,83.4,-150.0,0.0
10,87.72,9.01,1.1279,-0.8876,150.0,-133.1,0.0
11,84.75,7.13,-1.1382,-0.0714,-150.0,-10.7,2.3
12,84.75,7.13,-0.8887,0.3993,-133.3,59.9,2.3
13,84.75,7.13,-0.6688,0.0898,-100.3,13.5,2.3
14,83.80,6.52,-0.8697,-0.1352,-130.5,-20.3,3.3
15,84.53,6.59,-0.4690,0.5812,-70.3,87.2,2.6
16,86.47,7.82,-0.9042,0.7472,-135.6,112.1,1.0
17,86.47,7.82,-1.0605,0.3812,-150.0,57.2,1.0
18,86.71,8.38,0.1617,0.6654,24.3,99.8,0.8
19,86.46,9.41,0.6131,0.4992,92.0,74.9,1.0
20,84.49,9.73,-0.1359,0.5933,-20.4,89.0,2.5
21,84.49,9.73,0.1672,-0.2417,25.1,-36.3,2.5
22,82.32,9.50,-0.0705,-0.1708,-10.6,-25.6,5.2
23,78.84,9.13,-0.5617,0.8973,-84.3,134.6,8.2
24,78.84,9.13,-0.9721,-0.2760,-145.8,-41.4,8.2
25,75.95,8.32,-0.9436,-0.9398,-141.5,-141.0,11.6
26,72.54,7.48,-0.9640,-0.6647,-144.6,-99.7,14.5
27,72.54,7.48,0.0588,0.6899,8.8,103.5,14.5
28,68.85,7.14,0.9203,0.0545,138.0,8.2,18.4
29,64.76,6.78,0.9794,0.3768,146.9,56.5,22.7
30,61.41,6.49,0.9360,-0.9011,140.4,-135.2,25.7
31,57.28,6.63,1.0893,-0.8441,150.0,-126.6,30.0
32,52.71,6.28,0.9127,-0.9257,136.9,-138.9,34.6
33,48.35,5.98,0.9751,-0.8305,146.3,-124.6,39.2
34,48.35,5.98,1.0771,-0.9771,150.0,-146.6,39.2
35,44.89,4.85,1.0124,-1.0051,150.0,-150.0,42.3
36,43.00,4.29,0.7428,-0.9220,111.4,-138.3,44.5
37,43.00,4.29,-0.9882,0.9754,-148.2,146.3,44.5
38,42.37,3.38,-0.9781,1.0145,-146.7,150.0,45.1
39,43.07,2.53,-0.8449,0.3076,-126.7,46.1,44.4
40,46.32,3.14,-1.0855,0.6741,-150.0,101.1,41.2
41,46.32,3.14,-0.8892,0.7274,-133.4,109.1,41.2
42,50.64,3.85,-1.1008,0.8363,-150.0,125.4,36.6
43,57.00,5.67,-0.9352,0.9297,-140.3,139.5,30.2
44,62.67,7.08,-0.9433,0.8469,-141.5,127.0,24.8
45,62.67,7.08,-1.0825,0.3657,-150.0,54.9,24.8
46,62.67,7.08,-1.0182,0.2212,-150.0,33.2,24.8
47,66.84,7.94,-0.9746,0.1135,-146.2,17.0,20.2
48,67.84,7.54,-1.0745,-0.9190,-150.0,-137.8,19.3
49,65.33,6.83,-0.9337,-0.9635,-140.1,-144.5,22.2
50,61.11,5.51,-0.9288,-0.9156,-139.3,-137.3,26.1
51,57.38,5.23,-0.8355,-0.0288,-125.3,-4.3,30.0
52,57.38,5.23,-1.1185,0.3050,-150.0,45.7,30.0
53,53.82,4.97,-1.1060,1.0616,-150.0,150.0,33.7
54,49.91,4.70,-1.2082,0.8814,-150.0,132.2,37.6
55,46.16,4.47,-0.9598,0.9572,-144.0,143.6,41.4
56,42.64,4.72,-0.9724,0.8469,-145.9,127.0,44.9
57,42.64,4.72,-0.9799,1.1481,-147.0,150.0,44.9
58,38.28,4.50,-0.8924,0.6273,-133.9,94.1,49.2
59,34.42,3.90,-1.1280,-0.9352,-150.0,-140.3,53.0
60,30.74,3.77,-1.0457,-0.9925,-150.0,-148.9,56.8
61,30.74,3.77,-1.1756,-0.9203,-150.0,-138.0,56.8
62,27.14,3.68,-0.9138,-0.8655,-137.1,-129.8,60.4
63,23.61,3.61,-1.0277,-0.9391,-150.0,-140.9,63.9
64,20.12,3.58,-0.9507,-0.9325,-142.6,-139.9,67.4
65,20.12,3.58,-1.0346,-0.9876,-150.0,-148.1,67.4
66,17.04,3.57,-1.0532,-1.0294,-150.0,-150.0,70.2
67,17.04,3.57,-0.8686,-1.0742,-130.3,-150.0,70.2
68,10.89,2.76,-0.8769,-0.5475,-131.5,-82.1,76.4
69,10.89,2.76,-0.8761,0.1817,-131.4,27.3,76.4
70,7.44,2.40,-1.0733,0.6981,-150.0,104.7,80.1
71,3.97,2.48,-0.7861,0.1619,-117.9,24.3,83.6
72,0.44,2.60,-0.8490,-0.4651,-127.4,-69.8,86.8
73,0.44,2.60,-0.8456,0.3493,-126.8,52.4,86.8
74,-3.55,2.77,-0.8921,0.3859,-133.8,57.9,91.1
75,-7.65,2.97,-0.8165,0.0330,-122.5,4.9,95.2
76,-11.85,2.76,-0.8410,0.6265,-126.1,94.0,99.4
77,-11.85,2.76,-1.2213,-0.0026,-150.0,-0.4,99.4
78,-16.31,3.50,-0.9661,0.5867,-144.9,88.0,103.8
