step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,93.52,6.93,-0.9606,-0.9268,-144.1,-139.0,0.0
1,93.78,7.50,-0.0145,0.2419,-2.2,36.3,0.0
2,94.60,7.58,-0.8379,-0.1569,-125.7,-23.5,0.0
3,94.60,7.58,-0.7214,-0.0527,-108.2,-7.9,0.0
4,94.60,7.58,-0.7282,-0.7276,-109.2,-109.1,0.0
5,94.34,7.01,-0.4201,-0.7043,-63.0,-105.6,0.0
6,95.43,7.66,0.8881,-0.4312,133.2,-64.7,0.0
7,96.27,7.75,0.0487,0.6290,7.3,94.3,0.0
8,96.27,7.75,0.9200,-0.6489,138.0,-97.3,0.0
9,97.40,8.41,0.8270,-0.8905,124.1,-133.6,0.0
10,94.32,8.63,-0.4238,-0.9263,-63.6,-138.9,0.0
11,91.88,8.38,0.9303,-0.8431,139.5,-126.5,0.0
12,90.30,8.21,0.9853,-0.9267,147.8,-139.0,0.0
13,90.30,8.21,1.0049,-0.7054,150.0,-105.8,0.0
14,87.49,6.88,0.8679,-0.9548,130.2,-143.2,0.0
15,85.99,6.73,-1.1070,0.6855,-150.0,102.8,1.5
16,85.99,6.73,-0.7812,1.0182,-117.2,150.0,1.5
17,83.15,4.93,-0.8469,0.8984,-127.0,134.8,4.0
18,82.23,4.35,-0.9963,0.7961,-149.4,119.4,5.3
19,82.94,4.41,-0.9719,1.0689,-145.8,150.0,4.3
20,82.94,4.41,-0.9253,0.8041,-138.8,120.6,4.3
21,87.26,6.33,-0.9082,0.7551,-136.2,113.3,0.2
22,90.83,7.73,-0.9409,0.9436,-141.1,141.5,0.0
23,91.88,8.38,0.9715,-0.9647,145.7,-144.7,0.0
24,91.88,8.38,-0.9427,-1.0096,-141.4,-150.0,0.0
25,89.26,7.58,-1.0703,-0.7043,-150.0,-105.6,0.0
26,85.99,6.73,0.1388,-0.8281,20.8,-124.2,1.5
27,83.31,6.99,-1.0542,-0.5229,-150.0,-78.4,3.8
28,83.31,6.99,-1.0639,0.3205,-150.0,48.1,3.8
29,78.91,6.07,-0.1111,0.7857,-16.7,117.9,8.2
30,74.95,5.71,-0.9687,0.9018,-145.3,135.3,12.6
31,70.92,6.34,-1.1372,1.0382,-150.0,150.0,16.6
32,70.92,6.34,-1.0329,0.9657,-150.0,144.9,16.6
33,66.90,6.48,-0.9345,0.4352,-140.2,65.3,20.2
34,61.11,5.51,0.8685,0.4275,130.3,64.1,26.1
35,56.35,5.15,-0.5152,0.4460,-77.3,66.9,30.8
36,56.35,5.15,-0.6473,0.0148,-97.1,2.2,30.8
37,51.73,4.37,-0.9973,0.4369,-149.6,65.5,35.5
38,47.45,4.10,-0.8808,0.4758,-132.1,71.4,40.1
39,43.44,4.32,-1.0829,-0.5585,-150.0,-83.8,44.1
40,39.92,4.14,-0.8391,-0.8025,-125.9,-120.4,47.3
41,39.92,4.14,-0.7475,-1.0130,-112.1,-150.0,47.3
42,36.09,3.97,-0.9950,-0.8757,-149.3,-131.4,51.4
43,32.77,3.84,-0.9182,-0.9825,-137.7,-147.4,54.5
44,29.13,3.73,-0.6936,-1.1790,-104.0,-150.0,58.1
45,29.13,3.73,-1.0735,-0.9606,-150.0,-144.1,58.1
46,25.91,3.22,-0.9355,-0.8830,-140.3,-132.4,61.6
47,23.17,3.18,-0.9981,-0.8905,-149.7,-133.6,64.3
48,19.67,2.72,-0.9070,-0.9071,-136.0,-136.1,67.9
49,19.67,2.72,-0.9833,-1.0003,-147.5,-150.0,67.9
50,15.44,2.29,-1.0670,-1.1201,-150.0,-150.0,72.1
51,12.02,2.32,-1.0345,-1.1014,-150.0,-150.0,75.5
52,8.20,2.38,-0.9609,-1.1075,-144.1,-150.0,79.3
53,8.20,2.38,-1.1652,-1.0272,-150.0,-150.0,79.3
54,4.36,2.05,-0.9592,-1.2101,-143.9,-150.0,83.2
55,0.46,2.17,-0.8589,-1.0756,-128.8,-150.0,86.8
56,0.46,2.17,-1.1093,-0.8472,-150.0,-127.1,86.8
57,-3.53,2.33,-1.0234,-1.0315,-150.0,-150.0,91.1
58,-7.59,2.09,-1.1494,-1.0335,-150.0,-150.0,95.1
59,-11.81,2.32,-1.0155,-0.9465,-150.0,-142.0,99.1
60,-11.81,2.32,-0.8339,-0.8510,-125.1,-127.7,99.1
61,-16.20,2.59,-1.0567,-0.5550,-150.0,-83.2,103.7
