step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,98.55,9.08,-1.1466,-0.9752,-150.0,-146.3,0.0
1,98.55,9.08,-0.9866,0.1145,-148.0,17.2,0.0
2,98.55,9.08,-1.0410,0.9559,-150.0,143.4,0.0
3,98.55,9.08,-0.9627,1.0592,-144.4,150.0,0.0
4,98.55,9.08,-1.0667,1.0653,-150.0,150.0,0.0
5,99.42,9.17,-0.7589,0.9351,-113.8,140.3,0.0
6,102.42,10.06,0.9638,0.9651,144.6,144.8,0.0
7,102.42,10.06,1.1935,-0.7214,150.0,-108.2,0.0
8,102.10,9.46,0.6356,-0.9245,95.3,-138.7,0.0
9,98.55,9.08,0.7924,-0.9916,118.9,-148.7,0.0
10,98.55,9.08,-0.9477,0.7610,-142.2,114.1,0.0
11,95.15,8.72,-1.0016,0.0410,-150.0,6.2,0.0
12,92.15,8.95,0.8411,-0.6699,126.2,-100.5,0.0
13,87.98,7.98,-0.8568,-0.8152,-128.5,-122.3,0.0
14,87.22,7.90,-0.2692,-1.0363,-40.4,-150.0,0.3
15,87.22,7.90,-0.9612,-0.6451,-144.2,-96.8,0.3
16,87.22,7.90,0.3000,0.4545,45.0,68.2,0.3
17,84.26,7.60,-0.8462,-0.8559,-126.9,-128.4,2.8
18,81.63,7.86,-0.6478,0.4239,-97.2,63.6,5.9
19,81.63,7.86,-0.7051,0.8908,-105.8,133.6,5.9
20,78.40,8.05,-1.0557,1.0639,-150.0,150.0,8.7
21,74.44,7.67,-0.8814,0.9681,-132.2,145.2,13.1
22,74.44,7.67,-0.9456,1.0417,-141.8,150.0,13.1
23,70.06,7.25,-1.0853,1.1250,-150.0,150.0,17.4
24,65.17,6.33,0.7458,1.1146,111.9,150.0,22.3
25,60.03,5.43,1.0771,0.8278,150.0,124.2,27.1
26,55.84,5.11,0.0947,0.7819,14.2,117.3,31.3
27,55.84,5.11,-0.7454,0.8306,-111.8,124.6,31.3
28,51.36,4.80,-0.9319,0.9042,-139.8,135.6,35.8
29,51.36,4.80,-1.1233,0.9791,-150.0,146.9,35.8
30,51.36,4.80,-1.0355,1.0330,-150.0,150.0,35.8
31,39.57,4.56,-1.1661,0.9800,-150.0,147.0,47.6
32,39.57,4.56,-1.1077,0.8977,-150.0,134.7,47.6
33,36.58,4.43,-1.0034,0.0628,-150.0,9.4,50.9
34,33.25,4.29,-1.2275,-0.5614,-150.0,-84.2,54.0
35,33.25,4.29,-1.0066,-0.8733,-150.0,-131.0,54.0
36,29.59,4.18,-1.1434,-1.1177,-150.0,-150.0,57.7
37,26.80,4.11,-0.9500,-1.0585,-142.5,-150.0,60.7
38,23.26,4.04,-1.0155,-0.8818,-150.0,-132.3,64.3
39,23.26,4.04,-0.9721,-1.0213,-145.8,-150.0,64.3
40,19.73,3.57,-0.9125,-0.8263,-136.9,-123.9,67.8
41,16.28,3.57,-1.0251,-0.9502,-150.0,-142.5,71.0
42,13.19,3.16,-0.7418,-0.8800,-111.3,-132.0,74.3
43,13.19,3.16,-0.7005,-0.8398,-105.1,-126.0,74.3
44,9.74,2.78,-0.5978,-0.8855,-89.7,-132.8,77.5
45,5.90,2.43,-0.6444,-0.7209,-96.7,-108.1,81.4
46,2.02,2.55,-0.8075,0.3613,-121.1,54.2,85.3
47,2.02,2.55,-0.9620,-0.1542,-144.3,-23.1,85.3
48,-1.92,2.26,-0.8507,0.4851,-127.6,72.8,89.5
49,-6.38,2.47,-1.0275,0.8527,-150.0,127.9,93.7
50,-10.95,2.27,-0.9893,0.1487,-148.4,22.3,98.2
51,-10.95,2.27,-1.0869,0.7380,-150.0,110.7,98.2
52,-15.75,2.56,-0.9437,0.6803,-141.6,102.0,103.3
