step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,133.00,-36.14,-0.8910,-0.7901,-133.7,-118.5,259.7
1,133.00,-32.95,-0.9667,-0.0701,-145.0,-10.5,259.7
2,133.00,-32.95,-0.9577,-1.0516,-143.7,-150.0,259.7
3,133.00,-29.76,-0.3969,-0.9389,-59.5,-140.8,259.7
4,133.00,-26.57,0.7124,-0.6759,106.9,-101.4,259.7
5,133.00,-23.39,-0.7791,-0.9073,-116.9,-136.1,259.7
6,133.00,-20.20,-0.9824,-0.2974,-147.4,-44.6,259.7
7,133.00,-20.20,-0.5443,-0.8885,-81.6,-133.3,259.7
8,133.00,-17.01,-0.6549,-0.5246,-98.2,-78.7,259.7
9,133.00,-13.83,-0.7009,-0.3937,-105.1,-59.1,259.7
10,133.00,-13.83,-1.0762,-0.7572,-150.0,-113.6,259.7
11,143.92,-69.72,1.0059,-0.5644,150.0,-84.7,7.8
12,147.55,-71.34,0.7974,-0.9152,119.6,-137.3,6.4
13,151.35,-73.03,-0.9510,-0.8884,-142.7,-133.3,4.8
14,151.35,-73.03,0.1794,-1.1246,26.9,-150.0,4.8
15,149.33,-69.50,-0.9950,0.3128,-149.3,46.9,8.2
16,145.49,-64.94,0.7173,-0.7351,107.6,-110.3,12.7
17,145.49,-64.94,0.5860,-0.8424,87.9,-126.4,12.7
18,139.18,-57.36,-0.9824,-1.0307,-147.4,-150.0,20.0
19,137.71,-53.74,-1.1036,-0.7986,-150.0,-119.8,23.5
20,137.99,-54.45,-1.0544,-0.4558,-150.0,-68.4,22.8
21,137.18,-52.33,-0.7918,-1.2306,-118.8,-150.0,24.9
22,136.44,-50.26,-0.9828,-0.8531,-147.4,-128.0,26.9
23,136.44,-50.26,0.7373,-1.0056,110.6,-150.0,26.9
24,135.36,-46.90,-1.3265,-0.7434,-150.0,-111.5,30.3
25,133.76,-40.46,-0.5751,-1.1126,-86.3,-150.0,36.6
26,133.89,-41.09,0.0663,-0.8825,9.9,-132.4,36.0
27,133.89,-41.09,-1.0828,-0.9149,-150.0,-137.2,36.0
28,134.03,-41.72,-0.3312,-0.2110,-49.7,-31.7,35.4
29,130.21,-34.07,-0.2438,-0.7801,-36.6,-117.0,42.8
30,130.21,-34.07,0.7247,-1.0864,108.7,-150.0,42.8
31,130.21,-34.07,0.7375,-0.7165,110.6,-107.5,42.8
32,130.16,-33.47,0.8804,0.0900,132.1,13.5,43.4
33,130.11,-32.88,0.9863,-1.0132,147.9,-150.0,44.0
34,130.07,-32.28,0.6133,-0.8226,92.0,-123.4,44.7
35,130.07,-32.28,1.0578,0.1730,150.0,26.0,44.7
36,129.97,-29.34,0.6605,-1.0669,99.1,-150.0,47.6
37,128.84,-24.61,-0.1989,-0.4221,-29.8,-63.3,52.2
38,128.84,-24.61,-0.3012,-0.9203,-45.2,-138.0,52.2
39,124.30,-20.44,-1.0257,-0.8691,-150.0,-130.4,56.3
40,122.27,-18.14,-1.0819,-0.9047,-150.0,-135.7,58.4
41,122.12,-16.15,-0.8839,-0.8148,-132.6,-122.2,259.7
42,121.17,-13.84,-1.1090,-0.9507,-150.0,-142.6,259.7
43,121.17,-13.84,-0.8806,-1.0480,-132.1,-150.0,259.7
44,120.23,-11.53,-0.8111,0.3647,-121.7,54.7,259.7
45,119.28,-9.22,-1.0013,1.0815,-150.0,150.0,259.7
46,118.33,-6.92,-0.9297,1.1712,-139.5,150.0,259.7
47,118.33,-6.92,-1.0700,0.5449,-150.0,81.7,259.7
48,117.39,-4.61,-1.0690,0.3556,-150.0,53.3,259.7
49,133.43,2.22,0.9387,0.3886,140.8,58.3,79.2
50,135.52,3.64,0.9345,0.8922,140.2,133.8,80.8
51,135.52,3.64,0.2973,-0.5336,44.6,-80.0,80.8
52,136.55,3.09,0.8445,-0.7692,126.7,-115.4,80.2
53,137.30,4.43,0.7636,-0.7698,114.5,-115.5,81.6
54,139.80,8.56,0.3576,0.6077,53.6,91.2,85.8
55,139.80,8.56,-1.0114,-1.0878,-150.0,-150.0,85.8
56,143.70,10.32,-0.9524,0.7543,-142.9,113.1,87.8
57,143.81,8.31,-0.3580,0.7712,-53.7,115.7,85.8
58,136.28,4.98,-0.9988,-1.1177,-149.8,-150.0,82.1
59,136.28,4.98,0.8958,-0.7831,134.4,-117.5,82.1
60,130.48,3.85,-0.9130,-0.7024,-137.0,-105.4,80.8
61,136.55,3.09,0.8156,-0.3290,122.3,-49.3,80.2
62,139.02,2.65,0.9709,0.2621,145.6,39.3,79.9
63,139.02,2.65,-1.0024,-1.1223,-150.0,-150.0,79.9
64,136.55,3.09,-0.9449,0.7329,-141.7,109.9,80.2
65,135.16,2.98,-0.7065,0.9925,-106.0,148.9,80.0
66,135.16,2.98,-0.9622,0.9528,-144.3,142.9,80.0
67,135.52,3.64,0.8940,1.1800,134.1,150.0,80.8
68,135.52,3.64,1.0322,0.9380,150.0,140.7,80.8
69,140.86,3.44,1.0828,-1.0026,150.0,-150.0,80.8
70,138.66,1.98,0.7369,-0.4510,110.5,-67.7,79.2
71,138.66,1.98,-1.1220,-0.7908,-150.0,-118.6,79.2
72,138.66,1.98,-1.0315,0.3565,-150.0,53.5,79.2
73,134.45,1.67,-0.7230,-0.7539,-108.4,-113.1,78.7
74,134.45,1.67,0.9313,0.1691,139.7,25.4,78.7
75,135.14,0.47,0.9573,0.9995,143.6,149.9,77.6
76,135.14,0.47,1.0093,1.0738,150.0,150.0,77.6
77,137.95,0.66,0.9784,-0.8938,146.8,-134.1,77.9
78,137.61,0.01,0.9632,-0.0833,144.5,-12.5,77.2
79,136.20,-0.08,0.8724,0.8145,130.9,122.2,77.1
80,136.20,-0.08,1.2031,1.0239,150.0,150.0,77.1
81,136.20,-0.08,1.1165,-0.8142,150.0,-122.1,77.1
82,127.61,-1.85,1.0114,-0.9312,150.0,-139.7,75.0
83,129.27,-1.44,-0.9163,-1.0204,-137.5,-150.0,259.7
84,128.68,-1.54,-1.0256,-1.1066,-150.0,-150.0,259.7
85,128.10,-1.63,-1.1138,-0.0696,-150.0,-10.4,259.7
86,127.51,-1.73,-0.8901,0.7417,-133.5,111.3,259.7
87,127.51,-1.73,-1.1610,1.1317,-150.0,150.0,259.7
88,126.93,-1.82,-1.0451,0.7365,-150.0,110.5,259.7
89,126.93,-1.82,-0.9187,-0.4387,-137.8,-65.8,259.7
90,126.93,-1.82,-0.9262,-0.9418,-138.9,-141.3,259.7
91,133.29,-3.34,0.9147,-0.7372,137.2,-110.6,73.6
92,133.29,-3.34,1.0818,0.7138,150.0,107.1,73.6
93,137.98,-4.96,-1.0053,0.5048,-150.0,75.7,72.3
94,137.98,-4.96,-0.1897,-1.0339,-28.4,-150.0,72.3
95,135.18,-5.08,1.1012,0.0317,150.0,4.7,72.0
96,135.46,-4.46,-0.0151,1.0458,-2.3,150.0,72.6
97,135.46,-4.46,0.8873,0.9602,133.1,144.0,72.6
98,135.18,-5.08,0.9602,0.8130,144.0,122.0,72.0
99,135.18,-5.08,0.8335,0.6050,125.0,90.8,72.0
100,136.30,-5.65,0.9400,-0.8226,141.0,-123.4,71.5
101,134.66,-6.33,0.8507,0.7635,127.6,114.5,70.8
102,134.66,-6.33,1.0349,0.3141,150.0,47.1,70.8
103,134.66,-6.33,1.0268,0.3115,150.0,46.7,70.8
104,134.92,-5.71,1.1202,-0.9448,150.0,-141.7,71.4
105,131.72,-7.04,1.1143,-0.9394,150.0,-140.9,69.9
106,125.11,-7.86,1.0373,-0.7804,150.0,-117.1,68.8
107,125.11,-7.86,0.0678,-0.8021,10.2,-120.3,68.8
