step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,110.63,-31.51,-0.2839,1.0301,-42.6,150.0,11.5
1,110.57,-30.46,-1.0789,0.9743,-150.0,146.1,12.5
2,110.57,-30.46,-0.9154,1.0440,-137.3,150.0,12.5
3,110.60,-30.98,-1.0883,0.9535,-150.0,143.0,12.1
4,110.60,-30.98,-0.8277,0.9684,-124.2,145.3,12.1
5,110.60,-30.98,-1.0517,0.8995,-150.0,134.9,12.1
6,110.60,-30.98,-0.9346,0.8801,-140.2,132.0,12.1
7,110.60,-30.98,-1.0613,0.7740,-150.0,116.1,12.1
8,110.60,-30.98,-1.1682,0.9003,-150.0,135.0,12.1
9,110.60,-30.98,-0.9641,0.8184,-144.6,122.8,12.1
10,110.60,-30.98,-0.8576,0.6683,-128.6,100.2,12.1
11,110.60,-30.98,-1.0570,0.9768,-150.0,146.5,12.1
12,110.60,-30.98,-1.0964,0.9859,-150.0,147.9,12.1
13,112.56,-30.62,-0.9222,0.2954,-138.3,44.3,11.4
14,118.04,-34.30,-0.7187,-0.6155,-107.8,-92.3,5.8
15,116.86,-33.11,-0.4440,-0.7392,-66.6,-110.9,7.3
16,117.98,-33.75,-0.3288,-0.5167,-49.3,-77.5,6.3
17,118.04,-34.30,-0.2345,-0.7435,-35.2,-111.5,5.8
18,118.04,-34.30,0.1868,-0.7789,28.0,-116.8,5.8
19,116.91,-33.65,0.0217,-0.8591,3.3,-128.9,6.8
20,116.97,-34.19,-0.4174,-0.8827,-62.6,-132.4,6.3
21,116.97,-34.19,-0.6894,-0.9484,-103.4,-142.3,6.3
22,116.97,-34.19,-0.2302,-0.9358,-34.5,-140.4,6.3
23,116.97,-34.19,-0.6495,-0.8091,-97.4,-121.4,6.3
24,118.04,-34.30,-0.3898,-0.9385,-58.5,-140.8,5.8
25,118.04,-34.30,-0.1913,-0.9726,-28.7,-145.9,5.8
26,118.04,-34.30,-0.3747,-0.7289,-56.2,-109.3,5.8
27,118.04,-34.30,-0.3902,-0.9651,-58.5,-144.8,5.8
28,118.04,-34.30,-0.6625,-0.9592,-99.4,-143.9,5.8
29,118.04,-34.30,-0.1734,-0.7522,-26.0,-112.8,5.8
30,118.04,-34.30,0.0368,-1.0888,5.5,-150.0,5.8
31,118.04,-34.30,0.3055,-1.1457,45.8,-150.0,5.8
32,118.04,-34.30,-0.0864,-0.9190,-13.0,-137.8,5.8
33,118.10,-34.84,0.2124,-0.9409,31.9,-141.1,5.3
34,116.91,-33.65,0.0557,-1.0082,8.4,-150.0,6.8
35,117.80,-31.58,-0.8264,-0.9773,-124.0,-146.6,8.3
36,117.70,-29.43,-0.8905,-0.8138,-133.6,-122.1,10.2
37,115.59,-26.11,-0.8485,-1.2192,-127.3,-150.0,14.0
38,112.74,-22.32,0.7287,-0.7788,109.3,-116.8,18.7
39,103.13,-12.01,-0.7647,0.9779,-114.7,146.7,32.6
40,96.09,-6.70,0.2370,-0.5223,35.5,-78.3,41.3
41,96.09,-6.70,0.5542,-0.3463,83.1,-52.0,41.3
42,96.09,-6.70,-0.2145,0.0077,-32.2,1.2,41.3
43,96.09,-6.70,-0.4836,-0.2559,-72.5,-38.4,41.3
44,96.09,-6.70,-0.6654,-0.7426,-99.8,-111.4,41.3
45,96.09,-6.70,-0.4434,-0.7060,-66.5,-105.9,41.3
46,87.53,-0.22,-0.1222,0.6065,-18.3,91.0,52.3
47,87.53,-0.22,-0.6825,0.1560,-102.4,23.4,52.3
48,88.37,0.18,-0.3077,-0.0756,-46.2,-11.3,151.4
49,86.22,2.54,0.2500,-0.1920,37.5,-28.8,151.4
50,84.07,4.90,0.5758,-0.6131,86.4,-92.0,151.4
51,81.92,7.27,0.6133,-0.2412,92.0,-36.2,151.4
52,79.77,9.63,0.7617,-0.0016,114.3,-0.2,151.4
53,77.62,11.99,0.1280,0.2846,19.2,42.7,151.4
54,66.87,23.81,0.1300,-0.1323,19.5,-19.8,151.4
55,66.87,23.81,-0.1875,-0.0668,-28.1,-10.0,151.4
56,66.87,23.81,0.2858,-0.2419,42.9,-36.3,151.4
57,66.87,23.81,0.8870,-0.9329,133.1,-139.9,151.4
58,66.87,23.81,0.6869,-0.8892,103.0,-133.4,151.4
59,66.87,23.81,0.7921,-1.0083,118.8,-150.0,151.4
60,66.87,23.81,0.3085,-0.9783,46.3,-146.8,151.4
61,66.87,23.81,0.8175,-1.1337,122.6,-150.0,151.4
62,0.93,12.78,0.7026,-1.0475,105.4,-150.0,144.7
63,-1.93,11.46,0.8373,-1.0636,125.6,-150.0,147.9
64,-4.41,10.63,0.7478,-1.0052,112.2,-150.0,150.4
65,-5.23,10.20,0.7233,-0.8425,108.5,-126.4,151.3
66,-7.26,8.89,0.2017,-0.9675,30.3,-145.1,153.7
67,-10.59,7.70,-0.2761,-1.0607,-41.4,-150.0,157.1
68,-10.59,7.70,-0.6921,-0.5142,-103.8,-77.1,157.1
69,-10.59,7.70,-0.4281,-0.4452,-64.2,-66.8,157.1
70,-10.59,7.70,-0.5763,-0.8512,-86.4,-127.7,157.1
71,-10.59,7.70,0.2088,0.1039,31.3,15.6,157.1
72,-10.59,7.70,-0.0336,-0.8299,-5.0,-124.5,157.1
73,-10.59,7.70,0.0024,0.0426,0.4,6.4,157.1
74,-10.59,7.70,-0.4916,-0.8626,-73.7,-129.4,157.1
75,-10.59,7.70,-0.3410,-1.0488,-51.1,-150.0,157.1
76,-10.59,7.70,-0.3820,-0.7491,-57.3,-112.4,157.1
77,-10.25,8.63,-0.0635,-0.9281,-9.5,-139.2,156.3
78,-9.91,9.57,-0.0451,-1.0523,-6.8,-150.0,155.6
79,-8.25,10.41,-0.6006,-0.9877,-90.1,-148.2,153.8
80,-16.37,11.54,-0.4546,-0.9099,-68.2,-136.5,151.4
81,-18.50,11.98,0.3922,-1.0335,58.8,-150.0,151.4
82,-22.76,12.86,-0.1016,-1.0619,-15.2,-150.0,151.4
83,36.64,20.36,0.0117,-1.1798,1.8,-150.0,108.4
84,36.64,20.36,0.1488,-0.8228,22.3,-123.4,108.4
85,36.64,20.36,0.0614,-1.0680,9.2,-150.0,108.4
86,36.64,20.36,-0.1349,-0.8700,-20.2,-130.5,108.4
87,36.64,20.36,-1.0432,-0.9958,-150.0,-149.4,108.4
88,36.64,20.36,-0.9957,-0.0400,-149.4,-6.0,108.4
89,40.24,20.07,-1.1379,0.4336,-150.0,65.0,104.8
90,41.18,20.15,-0.8446,0.5461,-126.7,81.9,103.9
91,41.18,20.15,-0.7874,0.6106,-118.1,91.6,103.9
92,40.37,20.65,-1.2378,0.6908,-150.0,103.6,104.7
93,40.37,20.65,-0.8695,0.0921,-130.4,13.8,104.7
94,39.56,21.16,-0.9720,-0.0557,-145.8,-8.4,105.6
95,38.54,22.48,-0.5440,0.8687,-81.6,130.3,151.4
96,39.08,22.86,-0.3246,1.0642,-48.7,150.0,151.4
97,39.61,23.23,-0.9744,0.7562,-146.2,113.4,151.4
98,40.15,23.61,-0.8722,1.0510,-130.8,150.0,151.4
99,40.15,23.61,-0.8447,0.7229,-126.7,108.4,151.4
100,40.69,23.99,-0.9016,0.7016,-135.2,105.2,151.4
101,41.22,24.36,-0.7252,-0.3115,-108.8,-46.7,151.4
102,41.22,24.36,-0.8124,-0.5420,-121.9,-81.3,151.4
103,41.22,24.36,-0.6471,0.0289,-97.1,4.3,151.4
104,41.22,24.36,-1.1048,-0.7855,-150.0,-117.8,151.4
105,41.22,24.36,-0.8722,-0.7440,-130.8,-111.6,151.4
106,41.22,24.36,-0.8184,-0.9212,-122.8,-138.2,151.4
107,41.76,24.74,-0.3625,-0.6670,-54.4,-100.0,151.4
108,42.30,25.12,-0.4274,-0.9084,-64.1,-136.3,151.4
109,42.83,25.49,0.4005,-0.3766,60.1,-56.5,151.4
110,-14.09,7.50,0.6876,-1.0923,103.1,-150.0,160.1
111,-17.73,4.05,0.6225,-0.9132,93.4,-137.0,164.9
112,-22.33,0.32,0.0713,-0.5673,10.7,-85.1,170.6
