step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,111.66,-32.12,-0.0015,0.9652,-0.2,144.8,10.5
1,111.71,-32.64,0.6625,1.0159,99.4,150.0,9.9
2,111.66,-32.12,0.3794,0.9780,56.9,146.7,10.5
3,111.71,-32.64,0.3131,1.0311,47.0,150.0,9.9
4,111.71,-32.64,-0.0835,0.8451,-12.5,126.8,9.9
5,111.66,-32.12,-0.4259,0.9009,-63.9,135.1,10.5
6,110.71,-32.55,-0.8738,0.8684,-131.1,130.3,10.5
7,109.73,-32.47,-0.9788,0.8703,-146.8,130.6,11.0
8,109.73,-32.47,-1.1368,0.6959,-150.0,104.4,11.0
9,109.78,-32.99,-0.9289,0.7808,-139.3,117.1,10.6
10,112.76,-33.26,-1.0987,0.5558,-150.0,83.4,8.9
11,118.17,-35.39,-0.9877,0.5497,-148.2,82.5,4.7
12,118.17,-35.39,-0.9614,-0.7027,-144.2,-105.4,4.7
13,120.61,-37.30,-0.5538,-1.0088,-83.1,-150.0,2.1
14,120.44,-36.17,-0.9952,-0.9237,-149.3,-138.6,3.2
15,120.52,-36.73,-0.8886,-1.0247,-133.3,-150.0,2.6
16,120.52,-36.73,-0.7883,-1.0362,-118.2,-150.0,2.6
17,120.61,-37.30,-0.7575,-1.0611,-113.6,-150.0,2.1
18,120.70,-37.86,-0.9616,-0.9359,-144.2,-140.4,1.6
19,120.52,-36.73,-0.6652,-1.0600,-99.8,-150.0,2.6
20,120.52,-36.73,-1.0355,-0.9159,-150.0,-137.4,2.6
21,120.06,-32.85,-0.9523,-0.9767,-142.9,-146.5,6.3
22,119.89,-30.13,-0.4102,-0.8812,-61.5,-132.2,8.7
23,116.62,-27.23,-0.3695,-0.7452,-55.4,-111.8,12.6
24,116.62,-27.23,-0.5405,-0.8076,-81.1,-121.1,12.6
25,113.63,-23.91,0.5250,-0.9211,78.8,-138.2,16.9
26,108.20,-19.09,0.7200,-1.0187,108.0,-150.0,23.8
27,102.66,-14.01,-0.9747,0.9117,-146.2,136.7,31.3
28,102.66,-14.01,-0.5729,1.0666,-85.9,150.0,31.3
29,102.66,-14.01,-0.1639,0.6117,-24.6,91.7,31.3
30,102.66,-14.01,-0.7102,0.7650,-106.5,114.7,31.3
31,102.66,-14.01,-0.8427,0.6752,-126.4,101.3,31.3
32,102.66,-14.01,-0.5800,0.5605,-87.0,84.1,31.3
33,79.12,6.59,-0.1816,0.3395,-27.2,50.9,63.3
34,76.65,9.58,-0.5314,-0.4714,-79.7,-70.7,151.4
35,73.88,12.44,-0.7251,0.1382,-108.8,20.7,151.4
36,73.88,12.44,-0.7623,-0.8666,-114.3,-130.0,151.4
37,71.12,15.29,-0.8099,-0.5324,-121.5,-79.9,151.4
38,68.36,18.15,-0.5682,0.6562,-85.2,98.4,151.4
39,65.60,21.00,-0.8308,0.0992,-124.6,14.9,151.4
40,65.60,21.00,-0.8632,0.5989,-129.5,89.8,151.4
41,62.84,23.86,-0.9456,-0.8194,-141.8,-122.9,151.4
42,36.06,19.76,-0.8476,-0.5005,-127.1,-75.1,109.0
43,36.06,19.76,-0.9545,-0.5481,-143.2,-82.2,109.0
44,32.68,22.43,-0.5844,-0.6967,-87.7,-104.5,151.4
45,28.30,24.82,-0.2098,-1.0550,-31.5,-150.0,151.4
46,23.91,27.21,0.1093,-0.9112,16.4,-136.7,151.4
47,19.53,29.59,0.4988,-0.8529,74.8,-127.9,151.4
48,19.53,29.59,0.3804,-1.0787,57.1,-150.0,151.4
49,15.15,31.98,0.3218,-0.9680,48.3,-145.2,151.4
50,8.82,17.11,-0.3334,-1.0439,-50.0,-150.0,136.0
51,4.22,15.18,0.1970,-1.1414,29.5,-150.0,140.8
52,4.22,15.18,-0.1646,-1.0207,-24.7,-150.0,140.8
53,0.08,13.34,-0.3932,-1.0068,-59.0,-150.0,145.3
54,-1.56,12.43,-0.2859,-1.0835,-42.9,-150.0,147.1
55,-1.56,12.43,-0.0307,-1.0994,-4.6,-150.0,147.1
56,-2.81,12.01,0.2659,-1.1352,39.9,-150.0,148.4
57,-3.63,11.56,0.0746,-0.9952,11.2,-149.3,149.3
58,-4.02,11.10,0.3249,-1.0549,48.7,-150.0,149.9
59,-4.84,10.66,0.3171,-0.9653,47.6,-144.8,150.7
60,-4.84,10.66,0.0994,-0.8968,14.9,-134.5,150.7
61,-5.69,10.72,0.0275,-1.0504,4.1,-150.0,151.5
62,-6.09,10.26,0.3449,-1.1424,51.7,-150.0,152.0
63,-6.48,9.80,0.1202,-1.0543,18.0,-150.0,152.6
64,-6.48,9.80,0.6544,-0.8774,98.2,-131.6,152.6
65,-6.91,9.83,0.6696,-0.8491,100.4,-127.4,152.9
66,-7.34,9.86,0.1379,-0.7619,20.7,-114.3,153.3
67,-7.77,9.89,-0.1107,-0.8923,-16.6,-133.8,153.7
68,-7.77,9.89,-0.0247,-1.0318,-3.7,-150.0,153.7
69,-7.77,9.89,-0.1938,-0.9178,-29.1,-137.7,153.7
70,-7.77,9.89,0.2179,-1.0275,32.7,-150.0,153.7
71,-7.34,9.86,0.3456,-1.0586,51.8,-150.0,153.3
72,-7.34,9.86,0.5891,-1.0536,88.4,-150.0,153.3
73,-7.38,10.35,0.7240,-0.9144,108.6,-137.2,153.1
74,-6.95,10.32,0.6072,-0.9706,91.1,-145.6,152.7
75,-7.38,10.35,0.3731,-1.1489,56.0,-150.0,153.1
76,-7.38,10.35,0.5064,-1.1089,76.0,-150.0,153.1
77,-7.42,10.84,0.4320,-1.0500,64.8,-150.0,152.9
78,-6.63,11.78,-0.2381,-1.0644,-35.7,-150.0,151.8
79,-5.85,12.72,-0.1548,-1.1681,-23.2,-150.0,150.7
80,-5.85,12.72,-0.1165,-1.0427,-17.5,-150.0,150.7
81,-3.76,13.59,0.8682,-1.0559,130.2,-150.0,148.5
82,-2.07,13.99,0.0566,-0.9411,8.5,-141.2,146.9
83,-2.07,13.99,-0.6085,-0.8091,-91.3,-121.4,146.9
84,0.84,15.36,0.5017,-1.0735,75.3,-150.0,143.8
85,3.78,16.25,0.2140,-1.1380,32.1,-150.0,140.9
86,5.88,16.69,0.1652,-0.8874,24.8,-133.1,138.8
87,9.25,17.63,0.2457,-1.3031,36.9,-150.0,135.4
88,9.25,17.63,0.2766,-0.9175,41.5,-137.6,135.4
89,12.63,18.09,-0.0439,-0.8624,-6.6,-129.4,132.2
90,15.60,18.59,-0.0027,-1.1393,-0.4,-150.0,129.2
91,18.98,18.58,-0.3877,-0.9379,-58.2,-140.7,126.0
92,18.98,18.58,-0.4576,-1.0793,-68.6,-150.0,126.0
93,22.00,19.16,0.1789,-0.7242,26.8,-108.6,122.9
94,25.87,19.25,-0.6498,-0.9416,-97.5,-141.2,119.1
95,25.87,19.25,-1.0533,-0.6344,-150.0,-95.2,119.1
96,28.91,19.36,-0.9089,0.9342,-136.3,140.1,116.1
97,28.91,19.36,-1.1239,0.2808,-150.0,42.1,116.1
98,28.91,19.36,-0.8330,0.5084,-124.9,76.3,116.1
99,28.91,19.36,-0.9150,0.1532,-137.3,23.0,116.1
100,28.91,19.36,-1.1545,0.5792,-150.0,86.9,116.1
101,33.24,19.02,-0.9639,0.2483,-144.6,37.2,111.8
102,33.90,20.18,-0.7554,0.8687,-113.3,130.3,111.1
103,33.90,20.18,-0.8971,0.5866,-134.6,88.0,111.1
104,33.90,20.18,-1.1293,0.7114,-150.0,106.7,111.1
105,33.90,20.18,-0.9541,0.3331,-143.1,50.0,111.1
106,33.90,20.18,-1.0571,0.5541,-150.0,83.1,111.1
107,33.90,20.18,-1.1268,0.3315,-150.0,49.7,111.1
108,33.90,20.18,-0.8100,-0.4097,-121.5,-61.5,111.1
109,33.90,20.18,-0.8783,0.5477,-131.8,82.2,111.1
110,33.90,20.18,-0.7500,-0.4858,-112.5,-72.9,111.1
111,33.90,20.18,-0.8493,0.3000,-127.4,45.0,111.1
112,32.76,21.26,-0.9395,-0.9070,-140.9,-136.1,112.2
113,32.76,21.26,-0.8720,-0.1128,-130.8,-16.9,112.2
114,35.53,21.40,-0.4083,-0.5995,-61.2,-89.9,151.4
115,38.66,22.18,-0.2312,-0.4254,-34.7,-63.8,151.4
116,-14.54,7.53,-0.4703,-0.7037,-70.5,-105.5,160.4
117,-14.54,7.53,-0.2110,0.2341,-31.7,35.1,160.4
118,-14.54,7.53,-0.4526,0.4387,-67.9,65.8,160.4
119,-14.54,7.53,-0.7334,0.7529,-110.0,112.9,160.4
120,-14.54,7.53,-0.8149,0.9200,-122.2,138.0,160.4
121,-14.54,7.53,-0.5087,0.7368,-76.3,110.5,160.4
122,-14.54,7.53,-0.5603,1.0797,-84.0,150.0,160.4
123,-14.54,7.53,-0.6967,0.5818,-104.5,87.3,160.4
124,-14.54,7.53,-0.8848,0.6705,-132.7,100.6,160.4
125,-14.54,7.53,-0.8797,0.1960,-132.0,29.4,160.4
126,-28.86,-5.43,-0.9354,0.5336,-140.3,80.0,179.0
127,-35.75,-14.63,-0.9463,-0.0120,-141.9,-1.8,190.2
