step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
1,110.81,-33.61,1.0000,1.0000,150.0,150.0,9.4
2,111.81,-33.70,-0.0658,0.1444,-9.9,21.7,8.9
3,111.81,-33.70,0.1998,0.1697,30.0,25.4,8.9
4,111.81,-33.70,0.2000,0.1699,30.0,25.5,8.9
5,108.81,-32.90,1.0000,0.4049,150.0,60.7,11.1
6,108.86,-33.42,0.2659,0.0384,39.9,5.8,10.6
7,108.86,-33.42,0.2797,0.1780,42.0,26.7,10.6
8,108.86,-33.42,0.2801,0.1782,42.0,26.7,10.6
9,106.95,-33.25,0.8404,0.2308,126.1,34.6,11.6
10,105.08,-33.07,0.8789,0.2343,131.8,35.1,12.7
11,104.22,-33.50,0.6360,0.0629,95.4,9.4,12.8
12,104.22,-33.50,0.4057,0.1771,60.9,26.6,12.8
13,103.37,-33.92,0.6563,0.0524,98.4,7.9,12.8
14,102.53,-34.35,0.6758,0.0418,101.4,6.3,12.8
15,103.56,-35.47,0.1507,-0.1738,22.6,-26.1,11.1
16,103.56,-35.47,0.4255,0.1252,63.8,18.8,11.1
17,103.63,-35.99,0.4050,-0.0267,60.8,-4.0,10.6
18,103.63,-35.99,0.4246,0.1117,63.7,16.8,10.6
19,104.70,-37.13,0.1112,-0.2241,16.7,-33.6,8.8
20,104.70,-37.13,0.3971,0.0813,59.6,12.2,8.8
21,104.78,-37.66,0.3723,-0.0731,55.9,-11.0,8.3
22,104.87,-38.19,0.3692,-0.0877,55.4,-13.2,7.4
23,105.90,-38.83,0.0935,-0.1351,14.0,-20.3,6.4
24,105.90,-38.83,0.3669,0.0363,55.0,5.4,6.4
25,106.00,-39.37,0.3378,-0.1210,50.7,-18.1,5.7
26,107.05,-40.02,0.0576,-0.1706,8.6,-25.6,4.7
27,108.23,-41.24,-0.0103,-0.3519,-1.5,-52.8,2.8
28,108.23,-41.24,0.3062,-0.0280,45.9,-4.2,2.8
29,110.31,-42.05,-0.3023,-0.2665,-45.3,-40.0,1.1
30,113.76,-44.17,-1.0000,-1.0000,-150.0,-150.0,0.0
31,120.71,-46.90,-1.0000,-1.0000,-150.0,-150.0,0.0
32,120.71,-46.90,-0.0633,-0.2803,-9.5,-42.0,0.0
33,130.61,-49.65,-1.0000,-1.0000,-150.0,-150.0,0.0
34,148.25,-55.18,-1.0000,-1.0000,-150.0,-150.0,0.0
