step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
1,109.65,-31.42,1.0000,1.0000,150.0,150.0,12.1
2,109.69,-31.94,0.2462,0.0776,36.9,11.6,11.5
3,109.69,-31.94,0.2565,0.2167,38.5,32.5,11.5
4,110.63,-31.51,-0.0198,0.3456,-3.0,51.8,11.5
5,107.76,-31.78,1.0000,0.1492,150.0,22.4,12.7
6,106.82,-31.70,0.5866,0.2459,88.0,36.9,13.2
7,106.82,-31.70,0.3346,0.2244,50.2,33.7,13.2
8,106.86,-32.21,0.3233,0.0737,48.5,11.0,12.7
9,105.04,-32.56,0.8679,0.1093,130.2,16.4,13.2
10,102.32,-32.31,1.0000,0.2739,150.0,41.1,15.1
11,102.32,-32.31,0.4565,0.2090,68.5,31.3,15.1
12,103.37,-33.92,0.1503,-0.2631,22.5,-39.5,12.8
13,103.42,-34.44,0.4124,0.0159,61.9,2.4,12.3
14,103.56,-35.47,0.3904,-0.1496,58.6,-22.4,11.1
15,103.56,-35.47,0.4256,0.1256,63.8,18.8,11.1
16,103.56,-35.47,0.4262,0.1257,63.9,18.9,11.1
17,103.56,-35.47,0.4267,0.1259,64.0,18.9,11.1
18,103.56,-35.47,0.4272,0.1260,64.1,18.9,11.1
19,103.56,-35.47,0.4277,0.1262,64.2,18.9,11.1
20,103.56,-35.47,0.4283,0.1263,64.2,18.9,11.1
21,103.56,-35.47,0.4288,0.1265,64.3,19.0,11.1
22,103.56,-35.47,0.4293,0.1266,64.4,19.0,11.1
23,107.89,-39.60,-0.8422,-1.0000,-126.3,-150.0,4.7
24,119.08,-44.94,-1.0000,-1.0000,-150.0,-150.0,0.0
25,127.51,-47.36,-1.0000,-0.9360,-150.0,-140.4,0.0
26,140.11,-51.83,-1.0000,-1.0000,-150.0,-150.0,0.0
27,140.11,-51.83,-0.5841,-0.4116,-87.6,-61.7,0.0
28,160.63,-59.49,-1.0000,-1.0000,-150.0,-150.0,0.0
