step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,98.46,-55,-0.0837,-0.4808,-12.5,-72.1,7.9
1,98.46,-55,-0.5653,-0.902,-84.8,-135.3,7.9
2,98.46,-55,-0.9072,-1.0296,-136.1,-150,7.9
3,98.46,-55,-1.1433,-0.9046,-150,-135.7,7.9
4,98.46,-55,-0.9804,-0.9118,-147.1,-136.8,7.9
5,98.46,-55,-1.0634,-0.8708,-150,-130.6,7.9
6,99.56,-55.79,-0.2462,-0.1775,-36.9,-26.6,7
7,101.11,-55.52,-0.1965,0.2038,-29.5,30.6,7
8,101.11,-55.52,0.2222,-0.1102,33.3,-16.5,7
9,102.69,-55.26,-0.0994,0.3323,-14.9,49.8,7.1
10,103.85,-53.76,0.5282,-0.9906,79.2,-148.6,8.4
11,100.71,-52.05,0.4199,-0.0023,63,-0.3,11.1
12,100.32,-50.86,0.0107,0.6396,1.6,95.9,11.7
13,100.32,-50.86,0.2613,-0.2224,39.2,-33.4,11.7
14,99.26,-50.13,-0.0541,-0.5769,-8.1,-86.5,12.6
15,98.9,-48.98,0.1784,0.4842,26.8,72.6,14.4
16,97.55,-47.14,-0.2619,-0.5807,-39.3,-87.1,16.3
17,97.55,-47.14,0.1042,0.1905,15.6,28.6,16.3
18,96.55,-46.45,0.069,-0.2444,10.3,-36.7,16.6
19,96.96,-44.94,0.6593,-0.7783,98.9,-116.7,18
20,95.85,-43.73,-0.2612,-0.3522,-39.2,-52.8,19.8
21,95.85,-43.73,-0.0504,-0.5622,-7.6,-84.3,19.8
22,95.48,-42.14,-0.0946,-0.6919,-14.2,-103.8,21.5
23,95.26,-41.09,-0.0749,-0.7288,-11.2,-109.3,22.5
24,94.85,-39.03,0.2977,0.5751,44.7,86.3,24.2
25,94.85,-39.03,-0.2188,-0.2104,-32.8,-31.6,24.2
26,94.51,-37,-0.183,0.4232,-27.5,63.5,26.7
27,93.43,-34.92,-1.0026,-0.1773,-150,-26.6,28.4
28,93.43,-34.92,-0.5902,0.0326,-88.5,4.9,28.4
29,93.13,-31.99,0.0413,-0.4116,6.2,-61.7,31.8
30,93.13,-31.99,0.1899,0.2946,28.5,44.2,31.8
