step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,100.54,-64.39,0.3821,-0.5847,57.3,-87.7,0.0
1,100.84,-65.09,-0.5722,-0.9448,-85.8,-141.7,0.0
2,100.84,-65.09,-0.4666,-0.9981,-70.0,-149.7,0.0
3,100.54,-64.39,-0.8494,-1.0950,-127.4,-150.0,0.0
4,100.54,-64.39,-0.7852,-0.8605,-117.8,-129.1,0.0
5,100.54,-64.39,-0.7391,-1.1607,-110.9,-150.0,0.0
6,101.45,-64.61,0.1815,0.5524,27.2,82.9,0.0
7,103.93,-64.56,-0.3050,-0.4748,-45.8,-71.2,0.0
8,103.93,-64.56,0.2486,-0.5713,37.3,-85.7,0.0
9,105.21,-63.61,0.5845,-0.3826,87.7,-57.4,0.0
10,103.50,-59.55,0.6369,-0.5868,95.5,-88.0,2.7
11,101.34,-56.15,-0.1122,-0.2050,-16.8,-30.7,7.0
12,101.34,-56.15,0.1168,-0.5450,17.5,-81.7,7.0
13,100.03,-52.48,0.3186,0.2606,47.8,39.1,10.8
14,96.86,-47.56,-0.2107,-0.9093,-31.6,-136.4,16.0
15,94.09,-42.97,-0.2594,-0.5168,-38.9,-77.5,20.8
16,94.09,-42.97,-0.3872,0.2000,-58.1,30.0,20.8
17,92.20,-37.23,-0.5494,-0.3663,-82.4,-54.9,26.6
18,89.23,-31.17,-0.3031,-0.7511,-45.5,-112.7,32.7
19,85.43,-24.44,-0.0671,0.2140,-10.1,32.1,40.0
20,85.43,-24.44,-0.1652,-0.4175,-24.8,-62.6,40.0
21,81.82,-17.12,0.1825,0.3483,27.4,52.2,47.6
22,73.97,-10.06,-0.1533,-0.0227,-23.0,-3.4,55.6
23,68.88,-1.81,0.5896,0.1849,88.4,27.7,78.9
24,68.88,-1.81,0.2378,0.0977,35.7,14.7,78.9
25,63.41,4.28,0.2056,-0.4958,30.8,-74.4,84.4
26,55.45,3.71,-0.4003,-0.4383,-60.1,-65.7,92.3
27,48.53,2.82,-0.3857,-0.2564,-57.9,-38.5,99.3
28,48.53,2.82,-0.0570,0.0006,-8.5,0.1,99.3
29,43.07,2.53,0.0213,-0.4665,3.2,-70.0,104.7
30,39.16,2.35,0.1901,-0.5035,28.5,-75.5,108.6
31,35.31,1.78,0.2406,0.2957,36.1,44.4,112.5
32,35.31,1.78,-0.2510,0.3357,-37.7,50.4,112.5
33,31.65,1.66,-0.5995,0.3678,-89.9,55.2,116.1
34,28.07,1.57,-0.4784,0.8337,-71.8,125.0,119.7
35,24.56,1.50,-0.6447,-0.1775,-96.7,-26.6,123.2
36,21.48,1.47,-0.8712,0.9765,-130.7,146.5,126.3
37,21.48,1.47,-0.3356,0.8601,-50.3,129.0,126.3
38,17.67,1.45,-0.2383,-0.3318,-35.7,-49.8,130.1
39,13.52,1.88,-1.0214,0.6299,-150.0,94.5,134.3
40,13.52,1.88,-0.6177,0.5440,-92.7,81.6,134.3
41,9.34,1.93,-0.6860,-0.4985,-102.9,-74.8,138.4
42,4.36,2.05,-0.8669,-0.0646,-130.0,-9.7,143.4
43,0.06,2.19,-0.8469,-0.6324,-127.0,-94.9,147.7
44,0.06,2.19,-0.4983,0.7075,-74.7,106.1,147.7
45,-5.15,2.41,-0.7545,0.5052,-113.2,75.8,152.9
46,-9.72,2.64,-0.7292,0.6222,-109.4,93.3,157.5
47,-14.91,2.95,-0.9657,0.9396,-144.9,140.9,162.7
48,-14.91,2.95,-1.0020,1.1256,-150.0,150.0,162.7
49,-19.92,3.30,-0.9440,1.1125,-141.6,150.0,167.7
