step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,99.87,-58.77,-0.1033,-0.5019,-15.5,-75.3,3.9
1,99.24,-59.23,0.3019,-0.3173,45.3,-47.6,3.6
2,99.24,-59.23,-0.2315,-0.0408,-34.7,-6.1,3.6
3,99.24,-59.23,0.2576,-0.5801,38.6,-87.0,3.6
4,100.12,-59.42,-0.5385,-0.4587,-80.8,-68.8,3.3
5,100.12,-59.42,-0.3829,-0.5118,-57.4,-76.8,3.3
6,101.28,-60.27,-0.8089,1.1883,-121.3,150.0,2.3
7,99.87,-58.77,-0.9734,-1.2006,-146.0,-150.0,3.9
8,99.87,-58.77,-0.9907,0.7485,-148.6,112.3,3.9
9,101.93,-59.81,-0.8178,0.3642,-122.7,54.6,2.6
10,101.93,-59.81,-0.9370,0.6264,-140.5,94.0,2.6
11,101.93,-59.81,-0.3747,-0.3784,-56.2,-56.8,2.6
12,103.77,-60.21,0.1003,0.1331,15.0,20.0,2.3
13,105.66,-60.62,0.5782,0.2705,86.7,40.6,2.2
14,104.71,-60.41,0.4129,-0.9287,61.9,-139.3,2.3
15,104.71,-60.41,0.2301,-0.6667,34.5,-100.0,2.3
16,103.68,-62.02,0.5476,-1.0055,82.1,-150.0,0.9
17,104.05,-60.87,-0.4796,-0.8538,-71.9,-128.1,2.0
18,102.75,-61.81,0.3457,-0.9655,51.9,-144.8,1.2
19,102.75,-61.81,0.6251,-0.7338,93.8,-110.1,1.2
20,103.12,-60.67,0.4950,0.2873,74.2,43.1,2.3
21,102.58,-59.35,0.2029,0.9240,30.4,138.6,3.0
22,102.73,-57.60,0.3907,-0.9253,58.6,-138.8,5.5
23,102.73,-57.60,0.7417,0.4600,111.2,69.0,5.5
24,101.11,-55.52,0.5501,-0.7289,82.5,-109.3,7.0
25,100.24,-53.08,-0.1001,-0.0015,-15.0,-0.2,10.1
26,98.76,-51.14,0.0433,-0.4265,6.5,-64.0,11.7
27,97.36,-49.26,-0.3392,-0.0095,-50.9,-1.4,13.7
28,97.36,-49.26,-0.3153,-0.2250,-47.3,-33.7,13.7
29,96.03,-47.43,0.4362,0.0389,65.4,5.8,16.2
30,95.43,-45.23,-0.6324,-0.5061,-94.9,-75.9,17.9
31,95.43,-45.23,-0.7281,0.7343,-109.2,110.1,17.9
32,94.78,-42.55,0.7390,0.2568,110.9,38.5,21.1
