step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,100.51,-58.32,0.4306,-0.7925,64.6,-118.9,4.3
1,100.76,-58.96,0.3847,0.0516,57.7,7.7,3.6
2,99.62,-58.13,0.5516,-0.8934,82.7,-134.0,5.2
3,99.62,-58.13,0.9138,-0.1348,137.1,-20.2,5.2
4,99.87,-58.77,0.4246,0.6368,63.7,95.5,3.9
5,99.87,-58.77,0.3657,-0.4292,54.9,-64.4,3.9
6,100.76,-58.96,0.6198,-0.0093,93.0,-1.4,3.6
7,98.74,-57.95,0.2374,-0.2077,35.6,-31.2,5.5
8,97.01,-57.59,0.4638,0.0156,69.6,2.3,6.0
9,97.01,-57.59,0.5445,-0.2727,81.7,-40.9,6.0
10,96.55,-56.34,0.5096,-0.1150,76.4,-17.2,7.0
11,95.32,-57.24,-0.0008,-0.6146,-0.1,-92.2,6.5
12,95.32,-57.24,-0.2498,-0.8052,-37.5,-120.8,6.5
13,95.09,-56.62,-0.7765,-1.0051,-116.5,-150.0,7.0
14,93.22,-55.67,-1.0617,-0.9581,-150.0,-143.7,7.9
15,93.22,-55.67,-1.0563,-1.0538,-150.0,-150.0,7.9
16,94.48,-57.07,-0.9882,-1.0247,-148.2,-150.0,6.7
17,94.48,-57.07,-1.0052,-0.9894,-150.0,-148.4,6.7
18,96.39,-58.04,-0.1094,-0.6382,-16.4,-95.7,5.6
19,100.51,-58.32,0.0699,0.7046,10.5,105.7,4.3
20,100.51,-58.32,0.0918,0.2121,13.8,31.8,4.3
21,102.92,-55.88,0.8660,0.2802,129.9,42.0,7.0
22,100.92,-52.64,-0.7042,-0.9791,-105.6,-146.9,10.5
23,99.26,-50.13,-0.0093,-0.7090,-1.4,-106.4,12.6
24,99.26,-50.13,0.3485,0.7673,52.3,115.1,12.6
25,98.57,-47.84,-0.2347,-0.9092,-35.2,-136.4,15.6
26,98.57,-47.84,0.5218,-0.4413,78.3,-66.2,15.6
27,98.57,-47.84,0.1821,0.6813,27.3,102.2,15.6
28,98.57,-47.84,0.6972,-0.2275,104.6,-34.1,15.6
29,98.57,-47.84,-0.7972,0.0007,-119.6,0.1,15.6
30,98.57,-47.84,-0.1776,-1.1003,-26.6,-150.0,15.6
31,94.44,-36.49,-0.0276,0.5228,-4.1,78.4,27.2
32,94.06,-33.52,-0.6592,-0.2085,-98.9,-31.3,29.7
33,92.19,-29.52,0.4632,0.9234,69.5,138.5,34.0
34,92.92,-28.15,-0.0965,0.2425,-14.5,36.4,35.6
35,92.92,-25.31,0.7078,-0.5472,106.2,-82.1,38.0
36,92.92,-25.31,0.0167,1.0367,2.5,150.0,38.0
37,93.04,-22.49,0.1909,-0.6609,28.6,-99.1,41.3
38,92.46,-20.12,0.2157,0.9595,32.4,143.9,43.3
39,92.62,-18.71,0.9582,-0.6033,143.7,-90.5,45.1
40,92.62,-18.71,-0.1155,0.9430,-17.3,141.4,45.1
41,92.03,-17.29,0.7076,-0.8077,106.1,-121.2,46.5
42,93.04,-15.89,-0.4670,0.1655,-70.0,24.8,47.8
43,92.42,-14.94,0.2730,-1.1570,41.0,-150.0,48.8
44,92.42,-14.94,-0.5554,0.3448,-83.3,51.7,48.8
45,91.82,-14.00,0.3756,0.1072,56.3,16.1,49.4
46,92.51,-14.47,0.5588,-0.8823,83.8,-132.3,49.1
47,92.51,-14.47,-0.1205,-0.5566,-18.1,-83.5,49.1
48,92.51,-14.47,-0.4392,0.1119,-65.9,16.8,49.1
