step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,96.55,-56.34,0.5467,-0.8298,82.0,-124.5,7.0
1,96.55,-56.34,0.1787,-0.9493,26.8,-142.4,7.0
2,96.55,-56.34,0.4996,-0.9112,74.9,-136.7,7.0
3,96.55,-56.34,0.8344,-0.9714,125.2,-145.7,7.0
4,96.78,-56.96,0.9802,-0.8312,147.0,-124.7,6.6
5,96.55,-56.34,0.5693,-0.3069,85.4,-46.0,7.0
6,96.55,-56.34,0.5585,0.1423,83.8,21.3,7.0
7,96.55,-56.34,-0.7084,-0.5822,-106.3,-87.3,7.0
8,94.87,-56.00,-0.5664,-0.2639,-85.0,-39.6,7.3
9,92.61,-53.87,0.2310,0.3389,34.7,50.8,10.0
10,92.61,-53.87,0.4086,-0.0917,61.3,-13.7,10.0
11,93.46,-51.83,-0.0949,-0.9689,-14.2,-145.3,11.7
12,93.56,-49.68,-0.1715,-0.2692,-25.7,-40.4,13.8
13,93.56,-49.68,-0.5424,-0.1561,-81.4,-23.4,13.8
14,91.96,-46.78,-0.4639,-0.6234,-69.6,-93.5,16.9
15,91.41,-44.62,-0.9742,-0.3260,-146.1,-48.9,19.3
16,89.82,-40.88,-1.0251,0.0136,-150.0,2.0,23.2
17,90.03,-37.95,-0.9044,-0.1721,-135.7,-25.8,26.1
18,90.03,-37.95,-0.7433,-0.2796,-111.5,-41.9,26.1
19,90.31,-34.60,0.6615,-0.5452,99.2,-81.8,29.2
20,91.49,-30.89,-0.4550,0.5301,-68.3,79.5,32.7
21,92.91,-27.20,0.1823,-0.3788,27.3,-56.8,36.6
22,92.91,-27.20,0.1019,0.9485,15.3,142.3,36.6
23,92.26,-22.46,0.4963,-0.4420,74.4,-66.3,41.4
24,92.62,-18.71,0.3970,0.7754,59.5,116.3,45.1
25,92.33,-15.41,0.3049,0.4108,45.7,61.6,48.4
26,92.33,-15.41,0.7070,-0.1597,106.1,-24.0,48.4
27,92.33,-11.63,0.5431,0.9642,81.5,144.6,52.2
28,91.37,-9.26,0.7871,-0.7068,118.1,-106.0,54.2
29,91.37,-9.26,-0.2768,1.0256,-41.5,150.0,54.2
30,92.37,-5.85,0.2390,-0.9842,35.8,-147.6,57.9
31,91.90,-4.89,-0.7547,1.0384,-113.2,150.0,58.4
32,90.51,-4.47,-1.1284,-0.7794,-150.0,-116.9,59.0
33,92.23,-3.90,-0.8893,-0.3176,-133.4,-47.6,59.4
34,92.23,-3.90,-0.9327,-0.3391,-139.9,-50.9,59.4
35,92.41,-3.40,-0.7754,0.1954,-116.3,29.3,59.8
36,94.82,-3.28,-0.8682,-0.2135,-130.2,-32.0,59.6
37,94.82,-3.28,-1.0217,-0.7725,-150.0,-115.9,59.6
38,94.82,-3.28,-0.9772,-0.9079,-146.6,-136.2,59.6
39,94.82,-3.28,-0.6513,-1.1605,-97.7,-150.0,59.6
40,94.82,-3.28,-0.6553,-0.9658,-98.3,-144.9,59.6
41,102.48,-0.80,-0.8559,-1.0739,-128.4,-150.0,62.1
42,102.48,-0.80,-0.9985,-1.1062,-149.8,-150.0,62.1
43,101.37,0.70,-0.6171,-0.9881,-92.6,-148.2,63.2
44,101.20,2.28,-0.6144,-1.1321,-92.2,-150.0,64.3
45,101.33,4.43,-0.9563,-0.9612,-143.4,-144.2,67.4
46,101.33,4.43,-0.9243,-0.1710,-138.6,-25.6,67.4
47,102.43,6.71,-0.9670,0.0655,-145.1,9.8,67.8
48,100.90,8.77,-0.9418,-0.2480,-141.3,-37.2,67.8
49,100.90,8.77,-1.0329,-0.5763,-150.0,-86.4,67.8
50,98.85,9.67,-0.5997,-0.8092,-90.0,-121.4,67.8
51,93.77,9.12,-0.4908,-0.4472,-73.6,-67.1,67.8
52,88.23,8.53,-0.7570,-0.8143,-113.5,-122.1,67.8
53,82.33,7.93,0.3669,-0.3499,55.0,-52.5,67.8
54,82.33,7.93,0.2996,0.7195,44.9,107.9,67.8
55,77.51,7.46,0.7568,0.5573,113.5,83.6,70.3
56,72.34,6.97,0.4764,0.9351,71.5,140.3,75.4
57,72.34,6.97,0.1513,0.6723,22.7,100.8,75.4
58,67.91,6.08,0.2896,-0.1884,43.4,-28.3,79.9
59,63.31,5.69,-0.4112,0.4112,-61.7,61.7,84.5
60,59.49,5.39,0.0459,0.4099,6.9,61.5,88.3
61,59.49,5.39,-0.5037,0.0078,-75.5,1.2,88.3
62,56.22,4.68,-0.8466,-0.2444,-127.0,-36.7,91.6
63,54.19,4.53,-0.8473,-0.5208,-127.1,-78.1,93.6
64,51.73,4.37,-0.8505,-0.3245,-127.6,-48.7,96.1
65,49.58,3.33,-0.8131,0.1184,-122.0,17.8,98.2
66,49.58,3.33,-0.7859,-0.4458,-117.9,-66.9,98.2
67,46.78,3.17,-0.9499,-0.8429,-142.5,-126.4,101.0
68,44.15,3.47,-0.8737,-0.8828,-131.1,-132.4,103.6
