step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,97.18,-55.89,-0.8059,-0.9018,-120.9,-135.3,7.1
1,97.18,-55.89,-0.9749,-1.0088,-146.2,-150.0,7.1
2,97.18,-55.89,-1.0527,-0.9306,-150.0,-139.6,7.1
3,97.41,-56.51,-0.8361,-0.9985,-125.4,-149.8,7.0
4,97.41,-56.51,-0.9092,-1.0762,-136.4,-150.0,7.0
5,100.27,-57.68,0.8888,0.5483,133.3,82.2,5.6
6,100.27,-57.68,-0.5250,-0.6586,-78.7,-98.8,5.6
7,101.58,-56.78,-0.2452,0.1134,-36.8,17.0,6.4
8,103.15,-54.20,0.1393,-0.4406,20.9,-66.1,8.0
9,100.71,-52.05,0.8729,-0.0299,130.9,-4.5,11.1
10,100.71,-52.05,0.6453,0.5800,96.8,87.0,11.1
11,98.90,-48.98,0.3777,-0.6758,56.7,-101.4,14.4
12,98.25,-46.72,-0.3297,0.3115,-49.5,46.7,16.4
13,96.82,-44.39,-0.2295,-0.8934,-34.4,-134.0,19.1
14,96.82,-44.39,0.8659,0.0899,129.9,13.5,19.1
15,95.37,-41.61,-0.7039,-0.6316,-105.6,-94.7,22.0
16,94.04,-38.93,-0.5483,0.5852,-82.2,87.8,24.4
17,92.64,-34.84,-0.8237,-0.4339,-123.6,-65.1,28.6
18,92.64,-34.84,-0.9300,-0.6665,-139.5,-100.0,28.6
19,91.56,-31.85,0.6506,0.2673,97.6,40.1,32.1
20,91.35,-27.57,0.4687,0.2020,70.3,30.3,36.3
21,89.14,-23.25,0.2171,0.1200,32.6,18.0,40.8
22,85.14,-18.54,-0.0602,0.2506,-9.0,37.6,45.9
23,85.14,-18.54,0.1217,-0.7581,18.3,-113.7,45.9
24,79.77,-13.10,-0.3939,0.5426,-59.1,81.4,51.8
25,72.51,-8.34,0.0146,-0.5554,2.2,-83.3,57.1
26,72.51,-8.34,0.4558,0.7281,68.4,109.2,57.1
27,67.92,-3.20,0.3559,-0.2402,53.4,-36.0,79.9
28,62.02,1.41,0.1887,1.0304,28.3,150.0,85.8
29,56.35,5.15,0.2463,-0.9560,36.9,-143.4,91.4
30,56.35,5.15,-0.6034,0.7051,-90.5,105.8,91.4
31,51.24,4.34,-0.0789,-0.3327,-11.8,-49.9,96.5
32,46.98,4.07,0.0513,0.9774,7.7,146.6,100.8
33,44.24,3.92,0.4890,-0.4682,73.4,-70.2,103.5
34,44.24,3.92,0.4077,0.3275,61.2,49.1,103.5
35,41.67,4.22,-0.0745,-0.6903,-11.2,-103.5,106.1
36,38.20,4.06,-0.4161,0.8308,-62.4,124.6,109.6
37,35.18,3.49,0.0926,0.5583,13.9,83.7,112.6
38,32.36,3.83,0.2367,-0.5805,35.5,-87.1,115.4
39,32.36,3.83,-0.7244,0.8444,-108.7,126.7,115.4
40,29.87,3.32,-0.2744,-0.3151,-41.2,-47.3,117.9
41,29.87,3.32,-0.2281,0.6323,-34.2,94.8,117.9
42,27.09,3.25,-0.6327,-0.1531,-94.9,-23.0,120.7
43,24.34,3.19,-0.6812,0.8658,-102.2,129.9,123.4
44,22.40,3.17,-0.4600,0.7046,-69.0,105.7,125.4
45,19.31,3.14,-0.6807,0.7985,-102.1,119.8,128.5
46,16.63,3.14,-0.7942,0.6032,-119.1,90.5,131.2
47,16.63,3.14,-0.9777,0.4306,-146.7,64.6,131.2
48,13.58,3.15,-0.9833,-0.2286,-147.5,-34.3,134.2
49,10.90,3.19,-0.9521,-0.3305,-142.8,-49.6,136.9
50,10.90,3.19,-0.9389,-0.2834,-140.8,-42.5,136.9
51,7.83,2.81,-0.7401,-0.2037,-111.0,-30.6,140.0
52,4.74,2.89,-0.6228,-0.1813,-93.4,-27.2,143.0
53,1.62,2.99,-0.9419,-0.0067,-141.3,-1.0,146.2
54,1.62,2.99,-0.8787,0.3316,-131.8,49.7,146.2
55,-1.17,3.53,-0.5775,0.5943,-86.6,89.2,149.0
56,-4.40,3.68,-1.1970,0.9266,-150.0,139.0,152.2
57,-7.71,3.86,-1.0742,0.9779,-150.0,146.7,155.5
58,-7.71,3.86,-0.9563,0.9280,-143.4,139.2,155.5
59,-11.07,3.61,-0.8719,0.9822,-130.8,147.3,158.9
60,-14.62,4.29,-0.8543,1.2114,-128.1,150.0,162.4
61,-18.25,4.55,-1.3729,1.0500,-150.0,150.0,166.0
