step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,132.16,-69.09,-1.1382,2.0161,-150.0,150.0,7.9
1,132.16,-69.09,-0.8591,-0.9372,-128.9,-140.6,7.9
2,131.60,-68.91,-0.9170,-0.6168,-137.6,-92.5,259.7
3,131.52,-68.87,-1.0709,-1.0786,-150.0,-150.0,259.7
4,133.11,-68.60,1.0311,-0.6486,150.0,-97.3,8.5
5,133.11,-68.60,0.0006,0.8555,0.1,128.3,8.5
6,136.81,-70.96,-0.9028,0.0796,-135.4,11.9,6.3
7,138.74,-72.18,-0.6691,-0.7049,-100.4,-105.7,5.1
8,139.22,-73.06,0.5800,-0.8791,87.0,-131.9,4.3
9,139.22,-73.06,-1.0035,-1.1359,-150.0,-150.0,4.3
10,141.22,-74.33,0.9389,-0.8743,140.8,-131.1,3.1
11,143.26,-73.32,-1.0522,-0.9354,-150.0,-140.3,4.2
12,143.26,-73.32,-0.9824,-1.0282,-147.4,-150.0,4.2
13,143.26,-73.32,0.2959,-0.9898,44.4,-148.5,4.2
14,142.27,-71.56,0.6279,-2.1078,94.2,-150.0,5.9
15,143.26,-73.32,-0.9180,-0.7303,-137.7,-109.5,4.2
16,141.48,-67.68,-0.8531,0.1606,-128.0,24.1,9.7
17,141.48,-67.68,1.0541,-0.6572,150.0,-98.6,9.7
18,141.48,-67.68,1.1021,-0.8812,150.0,-132.2,9.7
19,140.63,-66.03,0.9206,-0.9337,138.1,-140.1,11.4
20,139.42,-63.63,-1.2042,-1.6450,-150.0,-150.0,13.7
21,139.42,-63.63,-0.9387,-0.7610,-140.8,-114.1,13.7
22,138.31,-61.30,-0.3457,-0.4432,-51.9,-66.5,16.0
23,137.27,-59.03,-0.7872,-1.0496,-118.1,-150.0,18.2
24,136.31,-56.82,-0.9120,-0.9717,-136.8,-145.8,20.4
25,136.31,-56.82,-0.9430,-0.9473,-141.4,-142.1,20.4
26,135.72,-55.38,-0.8191,-0.6630,-122.9,-99.4,21.8
27,130.82,-52.55,0.8903,0.5293,133.5,79.4,24.4
28,130.98,-49.40,-1.0520,-0.9935,-150.0,-149.0,27.5
29,130.98,-49.40,1.0609,-0.7592,150.0,-113.9,27.5
30,129.80,-45.48,1.0095,-0.9197,150.0,-138.0,31.5
31,129.00,-42.32,-0.9349,-0.8924,-140.2,-133.9,34.6
32,129.90,-40.61,1.2158,-0.8219,150.0,-123.3,36.3
33,129.90,-40.61,0.8935,-0.1561,134.0,-23.4,36.3
34,129.45,-38.16,-0.0287,-0.9475,-4.3,-142.1,38.7
35,129.11,-35.74,-0.0199,-0.8232,-3.0,-123.5,41.2
36,127.59,-33.25,0.5028,-0.9218,75.4,-138.3,43.5
37,127.59,-33.25,-0.6469,-1.0692,-97.0,-150.0,43.5
38,126.18,-30.24,0.4296,-0.9872,64.4,-148.1,46.5
39,126.21,-26.21,-0.8827,-1.0063,-132.4,-150.0,50.6
40,126.21,-26.21,0.6346,-0.8783,95.2,-131.7,50.6
41,126.21,-26.21,-1.0566,0.1588,-150.0,23.8,50.6
42,126.21,-26.21,-0.8280,-0.6255,-124.2,-93.8,50.6
43,126.21,-26.21,1.0247,-0.9684,150.0,-145.3,50.6
44,126.21,-26.21,-0.9642,-0.8793,-144.6,-131.9,50.6
