step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,154.82,-30.14,-0.9522,-0.8813,-142.8,-132.2,2.0
1,154.82,-29.51,-0.9173,-1.0812,-137.6,-150.0,2.2
2,154.82,-29.51,-0.9785,-1.0604,-146.8,-150.0,2.2
3,154.82,-29.51,-1.1588,-0.6084,-150.0,-91.3,2.2
4,154.82,-29.51,-0.9602,-0.9802,-144.0,-147.0,2.2
5,154.82,-29.51,0.9396,-1.0531,140.9,-150.0,2.2
6,154.82,-29.51,0.3063,-1.0183,45.9,-150.0,2.2
7,156.46,-28.98,2.1675,-0.9803,150.0,-147.0,2.2
8,158.12,-29.09,0.1691,-0.9701,25.4,-145.5,2.0
9,158.12,-29.09,0.9283,-1.0442,139.2,-150.0,2.0
10,163.27,-29.41,-1.0848,-1.1585,-150.0,-150.0,0.3
11,163.27,-29.41,-0.9037,-0.7979,-135.6,-119.7,0.3
12,165.09,-28.21,0.0266,-1.0813,4.0,-150.0,0.9
13,157.08,-22.04,0.9108,-0.7523,136.6,-112.8,7.7
14,157.08,-22.04,1.0433,-0.7310,150.0,-109.7,7.7
15,146.97,-17.45,-0.9373,-1.0305,-140.6,-150.0,14.1
16,144.18,-16.81,0.1472,-1.1484,22.1,-150.0,15.9
17,129.60,-8.13,0.8766,-0.8453,131.5,-126.8,28.9
18,129.60,-8.13,0.7930,-0.7499,118.9,-112.5,28.9
19,126.38,-4.23,-0.6545,0.7345,-98.2,110.2,33.7
20,125.71,-3.12,0.3948,0.0195,59.2,2.9,34.8
21,125.62,1.52,-0.3684,0.6325,-55.3,94.9,38.2
22,119.37,6.28,-0.8734,1.0090,-131.0,150.0,45.3
23,113.25,11.54,-0.1343,0.8173,-20.1,122.6,52.7
24,113.25,11.54,-0.3722,-0.0877,-55.8,-13.2,52.7
25,106.11,19.72,-0.9406,-0.2850,-141.1,-42.7,62.6
26,101.99,22.86,-0.4280,-0.5956,-64.2,-89.3,67.3
27,98.19,26.10,-0.6817,0.5720,-102.2,85.8,71.8
28,96.49,32.62,-0.8643,0.9072,-129.6,136.1,76.1
29,96.49,32.62,-0.4044,0.7088,-60.7,106.3,76.1
30,96.70,40.93,-0.9545,0.9621,-143.2,144.3,79.6
31,99.19,49.07,-0.0445,-0.5938,-6.7,-89.1,80.8
32,99.19,49.07,-0.6572,0.0246,-98.6,3.7,80.8
33,99.19,49.07,-0.5363,-0.9246,-80.4,-138.7,80.8
34,94.03,62.05,-0.8835,0.6685,-132.5,100.3,88.3
35,89.21,61.69,-0.8029,-0.0096,-120.4,-1.4,91.7
36,86.33,61.91,-0.7559,0.8626,-113.4,129.4,93.6
37,86.33,61.91,-0.5246,0.4417,-78.7,66.2,93.6
38,65.28,59.57,-0.7688,1.0047,-115.3,150.0,108.2
39,65.28,59.57,0.1712,0.8634,25.7,129.5,108.2
40,55.38,54.37,0.6933,0.7733,104.0,116.0,115.5
41,51.01,51.62,0.5424,0.3411,81.4,51.2,118.7
42,51.01,51.62,-0.0181,0.5985,-2.7,89.8,118.7
43,50.11,50.51,-1.0069,0.6020,-150.0,90.3,119.4
44,43.31,45.85,-0.3859,-0.0988,-57.9,-14.8,124.9
45,35.91,40.79,0.5285,0.4388,79.3,65.8,131.5
46,35.39,40.75,-0.6716,0.9974,-100.7,149.6,132.0
47,34.21,39.84,-0.9477,1.0462,-142.2,150.0,133.2
48,34.21,39.84,-0.6776,0.6210,-101.6,93.2,133.2
49,33.20,39.76,-0.7489,0.4709,-112.3,70.6,134.1
50,32.69,39.73,-0.2246,0.5014,-33.7,75.2,134.6
51,26.67,35.51,-0.7011,0.0755,-105.2,11.3,140.6
52,26.67,35.51,-0.7972,0.4329,-119.6,64.9,140.6
53,26.67,35.51,-0.7616,-0.4803,-114.2,-72.0,140.6
54,19.56,35.38,-0.8204,0.3338,-123.1,50.1,147.5
55,19.56,35.38,-0.9222,0.0830,-138.3,12.5,147.5
56,18.56,34.64,-1.0631,0.1848,-150.0,27.7,148.6
57,18.56,34.64,-1.0179,0.1629,-150.0,24.4,148.6
58,14.31,33.98,-0.9083,0.1122,-136.2,16.8,152.8
59,11.04,33.37,-1.1409,0.4522,-150.0,67.8,156.0
60,8.24,32.80,-0.9424,0.0299,-141.4,4.5,158.8
61,8.24,32.80,-1.0138,0.3950,-150.0,59.2,158.8
62,1.78,30.47,-0.4583,-0.0330,-68.7,-5.0,165.4
63,0.42,29.91,-0.3909,-0.3313,-58.6,-49.7,166.9
64,-4.56,27.75,-0.4469,0.4784,-67.0,71.8,172.1
65,-6.33,26.65,-0.8757,0.7682,-131.4,115.2,174.1
66,-9.05,25.70,-0.8346,0.6775,-125.2,101.6,176.9
67,-12.89,22.49,-0.7790,1.1123,-116.9,150.0,181.7
68,-12.89,22.49,-0.9681,0.2272,-145.2,34.1,181.7
69,-15.94,20.52,-1.1610,0.1594,-150.0,23.9,185.3
70,-18.12,19.07,-0.7706,0.2121,-115.6,31.8,187.9
71,-18.12,19.07,-0.8540,0.5265,-128.1,79.0,187.9
72,-18.12,19.07,-0.8060,0.9353,-120.9,140.3,187.9
73,-22.42,15.74,-0.6778,-0.5127,-101.7,-76.9,193.2
74,-23.74,14.83,-0.8172,0.4833,-122.6,72.5,194.8
75,-27.48,13.64,-0.8487,1.0452,-127.3,150.0,181.0
76,-30.66,12.33,-0.8966,1.0141,-134.5,150.0,181.0
77,-30.66,12.33,-0.7189,1.2357,-107.8,150.0,181.0
78,-37.03,9.70,-0.7905,1.1681,-118.6,150.0,181.0
79,-40.21,8.38,-0.8176,1.0464,-122.6,150.0,181.0
80,-40.21,8.38,-0.7728,1.1528,-115.9,150.0,181.0
81,-40.21,8.38,-0.8432,0.7551,-126.5,113.3,181.0
82,-43.40,7.07,-0.7672,0.9953,-115.1,149.3,181.0
83,-46.58,5.76,-0.8977,1.0402,-134.6,150.0,181.0
84,-49.76,4.44,-0.8041,0.8975,-120.6,134.6,181.0
85,-49.76,4.44,-0.9284,1.1873,-139.3,150.0,181.0
86,-52.95,3.13,-0.6679,0.8363,-100.2,125.4,181.0
87,-59.31,0.50,-0.7111,0.8356,-106.7,125.3,181.0
88,-59.31,0.50,-0.1784,1.2815,-26.8,150.0,181.0
89,-62.50,-0.81,-0.8744,1.0280,-131.2,150.0,181.0
90,-65.68,-2.12,0.1642,1.1542,24.6,150.0,181.0
91,-68.86,-3.44,0.8353,1.1129,125.3,150.0,181.0
92,-68.86,-3.44,0.8090,0.8689,121.4,130.3,181.0
93,-72.05,-4.75,1.0706,1.1595,150.0,150.0,181.0
