step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,140.18,-34.51,-0.9902,-0.9878,-148.5,-148.2,2.3
1,140.18,-34.51,-0.9725,-0.7856,-145.9,-117.8,2.3
2,140.18,-34.51,-1.1399,0.4689,-150.0,70.3,2.3
3,140.18,-34.51,-0.9316,1.1286,-139.7,150.0,2.3
4,140.18,-34.51,-0.8139,1.0902,-122.1,150.0,2.3
5,140.18,-34.51,-0.9261,0.9874,-138.9,148.1,2.3
6,141.58,-34.64,-1.0060,1.0065,-150.0,150.0,1.9
7,141.58,-34.64,-0.9126,-0.7927,-136.9,-118.9,1.9
8,141.58,-34.64,-0.0024,-0.1562,-0.4,-23.4,1.9
9,141.58,-34.64,0.7999,-0.3839,120.0,-57.6,1.9
10,143.00,-34.77,-1.1340,-0.7185,-150.0,-107.8,1.3
11,143.00,-34.77,-0.6215,-0.3895,-93.2,-58.4,1.3
12,143.00,-34.77,-0.1974,-0.1894,-29.6,-28.4,1.3
13,143.00,-34.77,0.4363,0.1622,65.4,24.3,1.3
14,143.00,-34.77,0.3452,0.5796,51.8,86.9,1.3
15,143.00,-34.77,-0.7201,0.8968,-108.0,134.5,1.3
16,143.00,-34.77,-1.0642,0.9300,-150.0,139.5,1.3
17,143.00,-34.77,-0.6873,1.0517,-103.1,150.0,1.3
18,143.00,-34.77,-0.5184,0.8645,-77.8,129.7,1.3
19,147.40,-35.17,1.3595,-0.8694,150.0,-130.4,0.0
20,150.26,-33.56,1.0451,-1.1762,150.0,-150.0,0.3
21,153.27,-31.92,-0.4421,-0.8628,-66.3,-129.4,1.0
22,147.13,-32.07,-0.8365,-0.9127,-125.5,-136.9,2.3
23,136.00,-32.97,-0.9785,-1.0550,-146.8,-150.0,5.1
24,136.00,-32.97,-1.0470,-0.8867,-150.0,-133.0,5.1
25,136.05,-33.56,-1.0884,-0.9362,-150.0,-140.4,4.5
26,137.29,-32.49,0.3387,-0.8822,50.8,-132.3,5.1
27,137.25,-31.90,-1.0785,-1.0098,-150.0,-150.0,5.6
28,137.22,-31.31,0.3309,-0.9385,49.6,-140.8,6.1
29,137.22,-31.31,-0.8655,-0.9196,-129.8,-137.9,6.1
30,137.22,-31.31,-0.6818,-0.9985,-102.3,-149.8,6.1
31,134.55,-30.52,-0.4843,-0.8480,-72.6,-127.2,7.8
32,134.57,-31.10,1.0160,-1.0016,150.0,-150.0,7.3
33,134.57,-31.10,-0.7181,-1.0511,-107.7,-150.0,7.3
34,133.28,-31.00,-0.2889,-1.0907,-43.3,-150.0,7.8
35,134.57,-31.10,2.7240,-1.1616,150.0,-150.0,7.3
36,134.55,-30.52,-0.3416,-1.0104,-51.2,-150.0,7.8
37,134.57,-31.10,1.2169,-1.0844,150.0,-150.0,7.3
38,133.28,-31.00,-1.7404,-1.0686,-150.0,-150.0,7.8
39,131.98,-30.33,-1.0155,-1.1712,-150.0,-150.0,8.9
40,133.22,-28.13,0.5927,-0.9362,88.9,-140.4,10.5
41,129.85,-21.72,-0.0035,-0.7442,-0.5,-111.6,17.6
42,128.78,-20.56,0.3437,-0.7066,51.5,-106.0,19.1
43,128.78,-20.56,-0.3857,-0.3306,-57.8,-49.6,19.1
44,128.78,-20.56,0.4856,-0.8916,72.8,-133.7,19.1
45,124.06,-14.39,-0.9088,0.8260,-136.3,123.9,26.8
46,124.57,-14.98,-0.0853,-0.4607,-12.8,-69.1,181.0
47,123.67,-13.68,-0.2603,0.7883,-39.0,118.2,181.0
48,122.77,-12.38,0.2422,0.0123,36.3,1.8,181.0
49,118.27,-5.88,-0.7416,0.8702,-111.2,130.5,181.0
50,115.57,-1.98,0.5832,0.3983,87.5,59.7,181.0
51,114.67,-0.68,0.5532,0.4380,83.0,65.7,181.0
52,114.67,-0.68,-0.5939,-0.0817,-89.1,-12.3,181.0
53,114.67,-0.68,-0.7749,0.3769,-116.2,56.5,181.0
54,114.67,-0.68,-0.7830,0.1819,-117.5,27.3,181.0
55,114.67,-0.68,-0.9322,0.1879,-139.8,28.2,181.0
56,114.67,-0.68,-0.6828,-0.2450,-102.4,-36.8,181.0
57,114.67,-0.68,-0.8993,0.6154,-134.9,92.3,181.0
58,114.67,-0.68,-0.9268,0.3715,-139.0,55.7,181.0
59,114.67,-0.68,-0.0887,0.2727,-13.3,40.9,181.0
60,114.67,-0.68,-0.5721,0.3797,-85.8,57.0,181.0
61,111.06,4.51,-0.7827,0.3963,-117.4,59.4,181.0
62,110.16,5.81,-0.5158,-0.3948,-77.4,-59.2,181.0
63,109.26,7.11,-0.7621,-1.1799,-114.3,-150.0,181.0
64,31.77,37.29,-1.0378,-0.3212,-150.0,-48.2,135.5
65,31.28,37.26,-1.1303,0.6486,-150.0,97.3,136.0
66,30.30,37.21,-0.8405,-0.8219,-126.1,-123.3,137.0
67,30.30,37.21,-1.0283,-0.7725,-150.0,-115.9,137.0
68,20.03,35.38,-1.0907,0.7928,-150.0,118.9,147.1
69,-0.52,30.00,-0.8003,0.0570,-120.0,8.6,167.6
70,-0.52,30.00,-1.1038,-0.0280,-150.0,-4.2,167.6
71,-0.52,30.00,-0.3434,0.3202,-51.5,48.0,167.6
72,-0.52,30.00,0.1747,0.4159,26.2,62.4,167.6
73,-0.52,30.00,-0.1246,1.3114,-18.7,150.0,167.6
74,-0.52,30.00,-1.0753,0.9421,-150.0,141.3,167.6
75,-0.52,30.00,-1.0337,0.9470,-150.0,142.0,167.6
76,-0.52,30.00,-0.6626,0.5674,-99.4,85.1,167.6
77,-0.52,30.00,-0.6214,0.9279,-93.2,139.2,167.6
78,-0.52,30.00,-1.0390,0.9140,-150.0,137.1,167.6
79,-1.42,29.41,-0.9853,0.8990,-147.8,134.8,168.7
80,-2.36,29.51,-0.1704,0.9792,-25.6,146.9,169.5
81,-3.25,28.93,0.0363,0.9353,5.5,140.3,170.5
82,-4.14,28.36,0.2993,0.9293,44.9,139.4,171.5
83,-5.03,27.80,0.1018,1.1504,15.3,150.0,172.5
84,-9.39,28.30,-0.6839,1.0682,-102.6,150.0,181.0
85,-12.55,28.43,-0.6421,1.1397,-96.3,150.0,181.0
86,-15.71,28.57,-0.9043,1.0759,-135.6,150.0,181.0
87,-18.87,28.70,-0.9194,0.9834,-137.9,147.5,181.0
88,-16.34,19.99,0.9195,1.1195,137.9,150.0,185.9
89,-16.34,19.99,-0.0517,0.9296,-7.8,139.4,185.9
90,-16.34,19.99,-0.8732,1.0623,-131.0,150.0,185.9
91,-16.83,20.05,-0.7735,1.1209,-116.0,150.0,186.3
92,-18.22,19.66,-0.7683,0.8755,-115.2,131.3,187.6
93,-18.22,19.66,-0.6915,1.0263,-103.7,150.0,187.6
94,-18.72,19.73,-0.3524,1.1793,-52.9,150.0,188.0
95,-20.42,18.24,1.0838,0.9558,150.0,143.4,190.2
96,-21.22,17.23,0.2482,1.0300,37.2,150.0,191.4
97,-29.22,15.30,0.5263,0.7388,78.9,110.8,181.0
98,-29.22,15.30,0.9434,1.1345,141.5,150.0,181.0
99,-29.22,15.30,1.0646,1.2353,150.0,150.0,181.0
100,-29.22,15.30,1.0007,0.9633,150.0,144.5,181.0
101,-31.10,14.76,0.8851,1.0296,132.8,150.0,181.0
102,-32.98,14.21,0.9711,1.1455,145.7,150.0,181.0
103,-34.86,13.67,0.5442,1.0825,81.6,150.0,181.0
104,-36.74,13.13,0.1919,1.0318,28.8,150.0,181.0
105,-40.50,12.04,0.3160,1.1359,47.4,150.0,181.0
106,-42.38,11.50,-0.7663,0.8701,-114.9,130.5,181.0
107,-44.26,10.96,-0.4251,1.1256,-63.8,150.0,181.0
108,-44.26,10.96,-0.5578,0.8677,-83.7,130.1,181.0
109,-44.26,10.96,0.5114,0.8568,76.7,128.5,181.0
110,-44.26,10.96,-0.6252,0.9002,-93.8,135.0,181.0
111,-46.14,10.41,-0.4310,0.8063,-64.7,120.9,181.0
112,-50.41,-17.42,-0.5951,0.7590,-89.3,113.8,236.8
113,-50.38,-17.87,-0.0374,0.3914,-5.6,58.7,237.2
114,-51.69,-18.34,0.8278,1.0559,124.2,150.0,238.3
115,-52.32,-19.27,0.9731,1.1305,146.0,150.0,239.4
