step,x_mm,y_mm,action_norm1,action_norm2,current1,current2,progress
0,137.15,-28.38,-0.8801,-1.1978,-132.0,-150.0,8.8
1,137.15,-28.38,-1.7007,-1.0851,-150.0,-150.0,8.8
2,137.15,-28.38,-1.0068,-1.1992,-150.0,-150.0,8.8
3,137.15,-28.38,-1.2655,-0.7814,-150.0,-117.2,8.8
4,137.15,-28.38,-0.9190,-0.4823,-137.9,-72.3,8.8
5,137.15,-28.38,-0.9763,-1.7067,-146.4,-150.0,8.8
6,137.15,-28.38,-0.3858,-0.3998,-57.9,-60.0,8.8
7,137.15,-28.38,-1.1475,-0.4989,-150.0,-74.8,8.8
8,137.15,-28.38,-1.0327,-0.7061,-150.0,-105.9,8.8
9,137.15,-28.38,-1.0798,-0.9734,-150.0,-146.0,8.8
10,137.15,-28.38,0.3324,-0.9147,49.9,-137.2,8.8
11,137.15,-28.38,0.1369,-0.8902,20.5,-133.5,8.8
12,137.15,-28.38,0.6401,-0.5264,96.0,-79.0,8.8
13,137.15,-28.38,0.6284,-0.8821,94.3,-132.3,8.8
14,137.15,-28.38,-0.2733,-1.0558,-41.0,-150.0,8.8
15,137.15,-28.38,-0.1390,-1.0691,-20.8,-150.0,8.8
16,137.16,-27.79,0.1963,-1.1427,29.5,-150.0,9.3
17,137.16,-27.79,-0.6491,-1.0654,-97.4,-150.0,9.3
18,137.16,-27.79,-0.9074,-1.0215,-136.1,-150.0,9.3
19,142.69,-28.13,0.8202,-1.0196,123.0,-150.0,7.1
20,143.00,-23.37,0.7353,-1.1131,110.3,-150.0,10.9
21,126.41,-14.39,-0.6735,0.5860,-101.0,87.9,25.5
22,130.92,-16.52,0.5127,-0.7933,76.9,-119.0,181.0
23,130.30,-15.51,-0.6105,-0.8262,-91.6,-123.9,181.0
24,129.67,-14.51,-0.2226,-0.8683,-33.4,-130.2,181.0
25,129.67,-14.51,-0.0512,-0.5704,-7.7,-85.6,181.0
26,129.67,-14.51,-0.5706,-0.0748,-85.6,-11.2,181.0
27,129.67,-14.51,-0.0592,-0.9385,-8.9,-140.8,181.0
28,129.05,-13.51,-0.4334,-1.0000,-65.0,-150.0,181.0
29,128.42,-12.51,0.4589,-0.8712,68.8,-130.7,181.0
30,127.80,-11.50,-0.9082,-0.3220,-136.2,-48.3,181.0
31,127.17,-10.50,0.5212,-0.8569,78.2,-128.5,181.0
32,126.54,-9.50,-0.6792,0.8545,-101.9,128.2,181.0
33,125.29,-7.49,0.6477,0.1018,97.1,15.3,181.0
34,124.67,-6.49,-0.0463,0.2376,-7.0,35.6,181.0
35,124.04,-5.49,0.7077,-0.0571,106.1,-8.6,181.0
36,123.42,-4.48,-0.3616,0.9171,-54.2,137.6,181.0
37,122.79,-3.48,-0.6956,1.0219,-104.3,150.0,181.0
38,122.79,-3.48,0.5547,0.3265,83.2,49.0,181.0
39,122.79,-3.48,-0.2611,0.9771,-39.2,146.6,181.0
40,122.79,-3.48,-0.2232,0.8772,-33.5,131.6,181.0
41,122.79,-3.48,-0.0045,1.0755,-0.7,150.0,181.0
42,122.79,-3.48,0.9036,1.0947,135.5,150.0,181.0
43,122.17,-2.48,0.3651,0.8578,54.8,128.7,181.0
44,121.54,-1.48,-0.4123,0.9962,-61.8,149.4,181.0
45,120.92,-0.47,-0.5132,0.9317,-77.0,139.8,181.0
46,120.29,0.53,-0.1457,0.8997,-21.9,134.9,181.0
47,119.67,1.53,-0.2941,0.7454,-44.1,111.8,181.0
48,119.04,2.54,-0.8819,0.5298,-132.3,79.5,181.0
49,118.41,3.54,-0.8448,0.8170,-126.7,122.5,181.0
50,41.02,34.34,-0.8209,0.9994,-123.1,149.9,126.5
51,40.69,35.03,-0.7580,1.1158,-113.7,150.0,126.9
52,39.84,35.69,-0.7644,0.6360,-114.7,95.4,127.7
53,38.32,35.54,-0.8987,0.9662,-134.8,144.9,129.3
54,36.81,35.40,-0.9428,0.4185,-141.4,62.8,130.7
55,33.97,35.92,-0.8519,0.4950,-127.8,74.2,133.5
56,29.08,35.62,-0.9682,-0.2700,-145.2,-40.5,138.3
57,28.12,35.57,-0.9195,0.8051,-137.9,120.8,139.2
58,26.30,36.25,-0.8743,-0.5306,-131.1,-79.6,140.9
59,23.81,35.43,-0.8923,-0.2626,-133.8,-39.4,143.4
60,18.09,34.64,-0.9516,-0.5743,-142.7,-86.1,149.1
61,16.22,34.67,-1.2061,-0.7510,-150.0,-112.6,150.8
62,13.85,33.99,-1.1304,-0.6634,-150.0,-99.5,153.2
63,10.57,33.40,-0.7357,-0.7912,-110.3,-118.7,156.4
64,6.85,32.17,-0.3930,-0.6171,-58.9,-92.6,160.2
65,6.85,32.17,-0.8736,-0.1430,-131.0,-21.5,160.2
66,6.85,32.17,-0.8860,0.5274,-132.9,79.1,160.2
67,6.38,32.21,-0.7699,0.4446,-115.5,66.7,160.7
68,3.62,31.01,-1.0274,0.4277,-150.0,64.1,163.5
69,0.88,29.87,-0.4149,0.6502,-62.2,97.5,166.5
70,-2.26,28.16,-0.0695,0.1305,-10.4,19.6,169.9
71,-5.44,27.20,0.4492,0.0040,67.4,0.6,173.2
72,-21.51,16.17,0.1316,-1.0092,19.7,-150.0,192.2
73,-21.92,15.67,0.1522,0.9367,22.8,140.5,192.9
74,-21.92,15.67,0.2001,0.8509,30.0,127.6,192.9
75,-21.92,15.67,-0.0921,0.8842,-13.8,132.6,192.9
76,-21.92,15.67,-0.0684,0.8709,-10.3,130.6,192.9
77,-21.92,15.67,0.0461,0.9389,6.9,140.8,192.9
78,-21.92,15.67,0.5533,0.9572,83.0,143.6,192.9
79,-25.39,15.28,0.6003,1.0539,90.0,150.0,181.0
80,-28.92,14.11,-0.6730,0.9679,-100.9,145.2,181.0
81,-32.45,12.94,0.0587,0.9754,8.8,146.3,181.0
82,-35.97,11.78,0.3276,0.9066,49.1,136.0,181.0
83,-39.50,10.61,-0.2754,0.9341,-41.3,140.1,181.0
84,-43.03,9.44,0.8797,0.8559,131.9,128.4,181.0
85,-27.66,9.07,0.7792,0.9427,116.9,141.4,201.4
86,-28.18,9.13,-0.0828,0.9199,-12.4,138.0,201.8
87,-28.71,9.19,-0.8031,0.9521,-120.5,142.8,202.2
88,-29.13,8.74,-0.3014,1.0634,-45.2,150.0,202.8
89,-29.13,8.74,0.2340,1.1035,35.1,150.0,202.8
90,-30.52,7.89,0.8487,0.7910,127.3,118.6,204.4
91,-30.52,7.89,0.0422,0.8892,6.3,133.4,204.4
92,-30.52,7.89,0.5146,1.1207,77.2,150.0,204.4
93,-30.96,7.44,-0.0988,1.2516,-14.8,150.0,205.0
94,-31.83,6.55,0.0013,1.0436,0.2,150.0,206.3
95,-35.47,4.69,0.1961,1.0941,29.4,150.0,181.0
96,-36.60,4.06,-0.0603,1.0340,-9.0,150.0,181.0
97,-36.60,4.06,-0.8649,1.0283,-129.7,150.0,181.0
98,-36.60,4.06,-0.9923,0.9823,-148.8,147.3,181.0
99,-36.60,4.06,-1.0656,1.0197,-150.0,150.0,181.0
100,-37.74,3.43,-1.0175,0.9630,-150.0,144.4,181.0
101,-38.87,2.80,-0.4871,0.9838,-73.1,147.6,181.0
102,-40.00,2.17,-0.3002,0.7720,-45.0,115.8,181.0
103,-41.14,1.54,-0.5592,1.2105,-83.9,150.0,181.0
104,-42.27,0.91,-0.2386,0.7608,-35.8,114.1,181.0
105,-43.41,0.28,-0.5058,0.8518,-75.9,127.8,181.0
106,-44.54,-0.35,-0.7738,-0.0193,-116.1,-2.9,181.0
107,-45.68,-0.98,-0.4579,0.1608,-68.7,24.1,181.0
108,-46.81,-1.61,-0.8920,0.6734,-133.8,101.0,181.0
109,-47.94,-2.24,-0.9835,0.7363,-147.5,110.4,181.0
110,-49.08,-2.87,-0.7220,0.7247,-108.3,108.7,181.0
111,-50.21,-3.50,-0.9822,0.4893,-147.3,73.4,181.0
112,-51.35,-4.13,-0.9928,0.7895,-148.9,118.4,181.0
113,-52.48,-4.76,-0.9962,1.0939,-149.4,150.0,181.0
114,-53.62,-5.39,0.2214,0.6371,33.2,95.6,181.0
115,-54.75,-6.02,0.5739,1.0185,86.1,150.0,181.0
116,-55.88,-6.65,0.2157,0.9799,32.4,147.0,181.0
117,-57.02,-7.28,0.3469,0.9853,52.0,147.8,181.0
118,-58.15,-7.91,0.9582,0.8908,143.7,133.6,181.0
119,-59.29,-8.54,0.8405,0.7979,126.1,119.7,181.0
120,-60.42,-9.17,0.9050,1.0589,135.7,150.0,181.0
121,-61.55,-9.80,0.9403,0.7248,141.0,108.7,181.0
122,-62.69,-10.43,0.9678,1.0353,145.2,150.0,181.0
123,-63.82,-11.06,0.9805,1.0749,147.1,150.0,181.0
124,-53.92,-29.01,0.8990,0.9125,134.9,136.9,249.0
